individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
74;68;34;93;36;19;42;48;82;68;63;43;76;76;0;79;68;68;86;9;18;11;35;23;35;95;36;89;99;37;99;0;55;49;25;83;13;44;80;15;24;16;40;80;57;82;57;82;85;30;38;70;68;68;98;91;75;96;69;10;25;74;99;50;44;38;56;40;30;63;96;65;33;81;73;32;63;4;53;76;82;100;72;90;99;58;21;48;3;8;36;46;78;25;14;21;32;59;33;2
89;95;76;48;89;74;55;11;69;82;49;57;59;69;82;76;36;37;44;74;68;63;75;90;10;38;13;50;3;81;81;51;79;14;23;28;59;0;19;29;72;71;76;41;96;93;53;64;69;25;78;58;84;79;60;64;25;3;41;37;24;21;34;35;49;63;55;55;19;70;34;23;39;82;4;17;35;43;99;25;43;47;39;30;64;59;15;92;63;63;49;56;68;86;61;63;29;23;32;32
55;44;26;26;19;32;73;93;32;34;14;70;56;93;71;70;69;55;49;70;44;79;40;83;74;43;64;64;48;68;44;32;48;43;43;63;61;39;42;65;77;70;71;90;35;14;70;56;70;73;65;69;82;73;76;77;59;63;70;69;35;68;44;30;70;75;40;54;44;63;70;82;99;79;92;69;48;14;41;17;15;81;84;97;74;68;41;76;71;81;68;44;71;73;21;93;81;81;35;63
37;41;59;68;66;45;14;19;32;37;66;48;30;34;31;39;64;99;55;32;18;16;79;70;76;73;93;32;75;59;81;36;68;71;14;36;42;15;39;27;67;67;81;55;66;36;55;47;63;62;82;32;42;46;76;93;61;61;76;26;3;93;93;68;14;76;44;19;14;30;50;86;63;44;55;61;72;45;37;43;34;41;63;35;29;28;52;12;21;99;49;65;59;43;32;25;56;22;64;54
64;82;64;43;69;94;78;52;48;44;82;81;73;73;41;43;6;44;61;47;48;68;44;29;76;86;29;17;71;71;50;70;32;68;53;46;75;42;76;70;43;18;51;40;32;76;60;89;20;42;42;28;47;82;50;64;13;13;41;68;73;55;82;84;65;44;81;19;55;56;14;64;74;64;36;16;27;55;99;81;95;80;19;19;7;44;71;72;99;32;12;25;25;55;68;65;64;64;81;43
34;94;13;21;12;41;58;51;44;69;93;85;73;25;77;18;14;12;65;12;41;54;91;81;13;64;52;43;16;99;19;16;40;44;71;43;26;73;82;3;44;21;81;32;54;63;64;43;32;12;68;13;27;66;29;41;99;73;23;83;64;59;46;50;55;52;49;27;36;30;75;36;28;64;41;41;79;70;73;81;13;14;24;55;71;3;73;64;43;64;70;32;12;14;70;71;45;44;93;81
35;28;57;61;14;73;41;3;47;47;43;27;37;64;52;81;82;79;3;79;81;69;81;73;92;53;28;49;61;67;19;93;67;46;13;36;50;75;59;71;40;64;39;54;32;19;46;70;70;93;35;42;44;36;44;45;65;52;14;29;55;47;32;52;14;52;65;57;73;51;79;81;47;47;23;5;99;93;18;14;21;62;68;44;11;56;78;39;19;93;73;14;64;58;73;47;93;93;99;59
25;87;52;64;38;64;70;52;51;36;47;71;46;22;79;21;81;81;32;36;67;65;93;73;59;29;25;26;44;61;52;19;64;57;16;41;3;52;40;21;70;70;46;45;39;13;40;52;45;45;58;55;13;93;80;88;61;64;43;70;64;79;54;45;79;72;81;40;81;19;57;99;45;25;43;73;31;38;79;66;62;66;8;65;65;71;52;73;56;22;45;40;50;73;17;16;45;57;52;71
92;47;81;45;25;29;41;71;19;47;93;40;48;44;29;74;40;39;56;84;23;23;91;60;96;84;27;86;73;3;69;52;89;92;19;47;73;19;8;43;45;79;65;65;63;60;99;41;44;79;75;45;47;39;64;73;56;65;22;61;43;28;81;99;81;3;98;82;30;31;40;19;64;44;44;81;84;85;90;74;81;79;71;73;62;55;31;53;64;50;45;46;45;47;26;42;93;41;21;81
40;36;78;28;76;84;93;22;24;47;70;71;19;37;99;22;47;48;81;99;81;81;81;19;65;39;46;44;12;48;45;64;44;63;29;54;41;40;52;81;60;46;88;14;93;81;64;92;34;86;44;99;45;27;23;22;71;40;81;25;20;18;19;71;64;44;48;44;40;93;45;3;99;79;19;61;93;87;24;22;44;65;41;99;47;64;47;24;22;36;61;25;44;18;19;69;62;63;71;64
