individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
1;31;9;47;47;3;4;20;8;36;11;39;35;5;10;44;17;34;29;13;20;7;21;3;27;8;42;24;44;4;23;46;24;44;42;47;48;43;11;10;24;26;3;4;41;15;25;40;20;31;31;4;29;9;22;10;29;4;7;4;14;16;20;14;47;34;30;17;49;4;11;38;15;39;50;5;39;13;16;44;7;30;13;37;49;26;21;44;38;11;24;8;41;20;36;45;34;22;4;2
24;8;5;20;21;19;22;9;7;40;44;25;20;9;16;35;27;34;43;1;9;39;29;37;11;27;48;14;38;39;39;24;44;36;38;20;14;18;34;4;36;33;31;44;43;38;44;9;7;20;41;26;16;24;17;30;42;38;41;45;31;10;17;13;35;37;24;33;47;45;9;3;9;15;10;45;24;36;49;20;17;14;26;34;29;24;35;20;28;20;44;30;29;29;24;7;28;24;26;13
24;43;35;34;47;34;50;47;39;38;39;38;44;33;50;29;7;24;41;39;43;24;37;35;16;39;38;36;23;26;40;37;20;39;39;39;44;32;24;36;21;23;17;47;21;36;45;30;29;29;37;37;48;42;16;44;24;39;29;23;25;28;35;42;37;33;30;33;45;41;4;40;44;44;10;17;26;30;36;43;24;25;29;35;40;30;39;47;33;39;31;45;44;39;45;47;39;39;8;20
45;36;14;28;29;36;41;36;26;45;47;4;45;39;24;24;35;38;24;34;40;31;44;45;36;38;33;34;17;30;45;42;36;38;36;42;37;38;39;39;37;37;36;27;42;40;39;45;44;38;40;34;35;22;47;33;44;44;43;38;38;47;47;29;39;35;47;47;36;34;49;34;39;47;39;50;47;50;34;39;36;29;23;37;39;39;42;40;44;45;29;40;32;21;34;42;39;29;48;48
48;40;39;48;40;40;47;34;39;34;40;39;45;47;39;39;45;38;44;36;39;38;45;42;47;34;34;39;38;37;41;42;34;28;39;45;42;39;43;45;39;45;32;42;39;43;32;31;24;38;42;36;43;42;47;45;40;39;36;28;50;39;47;50;40;45;39;47;36;29;45;39;35;19;40;31;40;35;42;41;47;45;47;47;45;40;46;46;44;34;40;42;37;42;39;30;32;32;39;39
42;49;40;45;40;36;44;46;42;39;44;44;45;42;37;32;40;30;40;40;29;37;44;33;40;48;42;48;31;49;39;44;47;42;42;43;45;39;40;38;45;44;39;34;40;41;32;39;26;40;39;29;44;38;39;39;45;42;45;42;46;45;38;34;39;42;29;40;36;44;34;41;50;47;36;36;39;39;45;39;37;39;40;39;43;41;37;42;47;36;45;34;38;32;42;46;45;36;34;38
33;41;44;39;44;45;36;38;45;43;32;42;48;45;42;39;40;44;38;44;39;39;39;38;47;42;42;34;39;43;47;47;45;39;41;41;45;39;46;45;48;47;40;39;34;47;39;38;42;47;32;40;45;42;45;45;40;42;39;39;43;41;34;42;42;39;45;42;39;39;41;42;45;43;41;39;49;47;41;43;46;40;42;42;38;48;40;36;47;44;44;42;40;36;45;43;41;39;45;45
33;47;42;29;44;40;42;42;44;42;42;33;45;45;39;47;39;39;36;39;35;39;47;50;45;43;36;45;38;34;46;43;47;43;43;42;38;42;44;40;45;42;45;45;40;40;42;42;45;45;49;39;41;47;47;43;41;39;48;45;42;31;39;47;45;39;39;42;44;39;42;49;44;43;39;50;37;38;36;35;43;41;45;38;45;47;36;36;46;47;45;42;45;38;41;45;41;37;42;46
46;44;43;41;39;42;41;44;43;47;47;42;39;37;41;42;44;40;42;43;39;38;42;44;44;36;39;44;38;38;39;42;47;43;47;43;43;42;45;39;44;45;40;44;45;35;36;44;44;47;44;44;38;40;29;38;46;45;47;41;47;42;39;44;38;39;39;49;39;43;47;47;29;45;44;40;41;41;45;49;44;39;41;43;34;45;47;39;42;45;47;45;46;44;43;45;44;36;44;39
42;41;43;43;47;39;47;47;42;47;42;46;44;43;44;47;38;37;39;49;39;39;36;43;39;40;45;42;38;42;47;29;47;39;45;46;42;36;36;37;45;48;43;36;46;40;48;47;44;44;45;45;41;45;47;38;43;47;39;42;41;42;47;46;48;37;44;46;44;47;42;43;49;44;35;46;43;42;43;44;42;45;43;37;43;43;42;47;39;42;41;42;45;45;47;39;37;35;45;43
38;38;40;41;33;34;47;47;45;36;44;42;44;41;38;40;47;46;38;42;44;41;45;41;42;42;43;43;47;47;45;46;47;47;48;49;45;42;38;40;47;45;47;38;49;47;45;45;45;47;42;39;44;45;44;44;34;44;45;40;47;42;41;35;46;44;46;45;35;41;41;42;47;40;40;46;47;45;45;36;39;45;44;47;47;38;45;42;47;48;40;44;43;43;47;49;47;49;45;44
44;42;42;47;44;47;47;47;45;47;44;43;43;46;41;47;40;41;49;44;42;39;44;48;44;36;42;45;39;45;43;43;37;47;42;43;41;38;42;49;41;36;46;39;45;47;44;46;42;45;47;44;43;47;40;44;39;43;45;47;47;39;49;44;47;43;33;39;43;43;45;39;45;43;41;41;37;47;47;39;44;47;45;44;38;47;46;47;38;45;39;45;41;38;42;41;37;39;44;44
47;46;48;37;36;43;44;38;45;44;45;48;42;42;46;44;43;46;44;39;48;46;47;45;45;47;36;44;46;46;41;43;46;46;45;47;46;43;43;45;47;34;41;41;45;44;46;47;46;42;38;43;41;46;47;47;47;47;42;43;46;45;46;46;45;46;47;46;44;45;43;40;43;43;46;46;41;42;46;44;44;45;47;49;43;42;42;47;46;47;39;44;38;45;41;44;45;42;39;41
40;42;47;49;46;34;38;39;47;39;45;47;43;46;39;47;43;40;47;47;47;47;44;41;47;45;39;45;40;41;39;48;37;43;42;44;39;44;41;44;47;37;34;39;47;45;47;47;48;47;40;44;47;47;39;41;47;41;47;45;45;41;48;44;46;47;47;44;43;47;29;45;36;49;40;48;36;36;41;39;44;45;45;46;47;45;44;42;46;43;49;39;45;38;42;47;47;46;40;44
