AggressivenessPct;ScaryPct;Speed;MaxVitality;Strength;MaxEnergy;SightDistance;FieldOfViewDregrees;SmellingHearingRadius;SeeingPriorityPct
54,46;53,31001;116,41;439,8399;117,56;3,129998;51,51;122,41;23,86;52,47001
56,52;51,74001;121,02;460,9101;118,56;3,379998;53,02001;121,16;26,29001;54,32
60,60001;59,19;116,62;476,5101;116,6;3,349998;60,68999;123,29;33,80001;47,23999
68,24001;50,23;120,92;490,6299;126,2;3,549998;63,86;124,32;37,17999;39,06
73,07001;54,13;122,61;487,4099;129,47;3,609998;66,61001;123,88;39,77;33,41001
74,03;48,62;120,89;496,1299;130,6;3,859998;67,53001;124,19;40,09;30,78
73,21999;52,37;113,46;482,4601;134,02;3,789998;64,85001;125,32;41,69;29,05
76,15999;52,28001;117,18;480,28;134,74;3,819998;65,16;124,25;41,85;29,50999
71,10996;56,15;118,97;485,3101;133,58;3,649997;66,78001;122;42,14;26,18999
74,27999;52,63;114,64;489,76;136,78;3,979997;66,45001;122,75;42,61999;27,39999
77,06001;51;115,88;497,1198;133,66;4,049997;64,32001;122,87;43,23001;25,18999
73,63;59,69;119,05;488,8099;134,75;3,739997;69,05001;125,62;43,10999;24,26
74,88998;53,23001;113,15;492,8998;138,95;4,089998;62,43;120,94;43,95998;25,35
74,39999;54,82;123,48;487,14;132,28;3,949997;67,19002;124,31;43,33;23,54999
76,56998;53,63002;118,14;492,9301;135,16;3,969997;64,43;121,48;43,56;21,39
77,77999;53,03998;122,49;509,3699;134,58;4,099998;65,71001;123,9;44,53;21,01
78,40001;50,93001;122,35;517,16;132,84;4,069998;63,46001;124,12;44,59999;20,64999
75,53999;49,69002;118,87;482,95;139,72;4,249999;65,87;122,08;44,94;22,45
75,64;50,39;115,48;490,66;139,35;4,349999;64,15002;118,28;44,59998;20,74
80,03001;49,82001;120,75;508,6199;137,28;4,249998;69,13;123,45;44,87999;21,68
80,53001;48,74001;123,62;503,9299;135,95;4,329998;68,73;123,99;45,46;23,53999
79,05003;52,37;119,02;535,2;136,51;4,169998;68,00001;124,54;45,73999;21,59
83,52003;46,14;116,17;541,46;139;4,479999;65,64001;121,17;45,48;22,64
84,29002;48,14;123,29;523,89;141,58;4,299998;67,64;122,93;45,24;19,12
82,39001;47,10001;123,73;537,9699;139,22;4,179998;66,15001;122,1;45,50999;20,71
81,18999;52,02001;123,1901;530,14;137,9;4,299998;65,17999;121,98;45,82999;20,67999
81,90002;47,70001;122,9;525,3899;136,91;4,059998;66,07;121,98;45,35;19,79
82,77002;50,52001;123,66;530,8699;139,39;4,059998;67,27;121,21;45,21999;19,74
85,34;44,67;120,34;533,2299;139,14;4,069998;66,54003;122,28;45,00999;21,42
83,59;44,66999;116,88;542,91;139,84;4,049997;66,59;121,02;45,55999;21,66999
85,86002;50,21998;122,57;545,4399;140,6;4,029997;66,94;119,91;46,15;19,55
83,87003;48,89;126,45;530,1299;139,69;4,159998;71,69001;121,89;45,94999;18,62
85,00999;43,95;130,14;522,21;138,98;3,939997;69,18999;122,6;45,67999;18,41
83,72;48,17;126,97;529,66;139,49;4,039998;68,99001;122,01;46,03999;21,18
85,26002;48,56001;128,63;523,36;138,9;4,019997;67,35999;123,73;45,83;20,64
83,44;49,51;130,66;524,98;138,7;3,999997;71,09998;121,23;45,76;19,69
85,05;48,47001;122,81;533,01;141,54;4,259998;69,08999;121,04;46,07;20,9
85,57002;52,40001;117,37;550,8899;142,14;4,179998;68,63999;120,71;45,75999;21,38
84,86002;42,8;126,79;530,11;135,38;3,849997;70,26;120,49;45,39;19,90999
