individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
1822;1787;604;2052;3084;1733;3470;1553;3152;524;2922;1074;2291;2719;2808;1698;2197;1028;300;2845;3013;3290;2560;1590;1474;1836;1411;40;1728;1582;1550;973;2944;685;1009;165;1042;1294;1778;2071;2853;3457;2838;2836;744;1456;3030;158;1160;1046;114;1674;1828;3228;810;3328;892;1322;2413;477;2258;143;520;2325;1397;837;1844;1237;1107;3099;1405;1546;28;2238;778;383;1106;2968;1871;776;1782;425;2373;3498;3071;3069;1666;1871;2135;2779;551;1173;1947;2016;1310;643;1707;693;1863;1457
1074;1590;1106;892;3084;2135;2845;2853;1263;1208;2277;1470;2238;2560;1728;3084;692;1306;895;291;1756;1789;2360;2982;2825;2278;143;1042;2345;1067;2719;1322;1773;1703;1830;1824;3050;2978;2560;3152;1385;1881;3470;2779;1046;1294;3084;1728;2922;1871;2852;2738;1023;2486;2238;158;776;1474;2321;2234;1173;1456;1411;1456;1028;2719;3290;2808;2052;685;28;2853;1550;1474;2719;1550;3203;772;2353;2975;165;1046;1553;2291;604;1411;2816;1494;165;1836;1509;2386;744;2968;1028;300;1584;1753;1099;1779
1913;2216;1533;2860;1207;1184;2384;2382;2922;3013;1518;1723;1333;3130;744;2845;202;998;1871;2413;2325;1397;1782;776;1979;1938;599;1743;2253;2310;3328;3328;1782;2277;1310;2779;1871;1009;1310;3099;2482;2191;977;2634;2742;2428;1883;2059;2845;2238;632;663;1555;1466;754;407;693;1009;2238;1871;1947;1456;1322;2944;2396;3048;1042;3290;2838;143;776;744;601;2635;1582;1106;1397;1405;1947;2258;3099;1830;143;1546;778;1546;3328;2779;1675;2043;1201;2325;1330;1601;1173;2853;2150;2104;2373;1106
169;2715;1173;2345;1753;2742;643;2853;1456;1728;2719;1789;1550;1294;2931;823;2507;1781;1411;1590;1836;1863;1364;2393;1217;1909;2063;2972;1042;114;3228;1106;778;2860;1550;1042;2838;1789;1632;2599;114;1405;3457;1294;2114;1999;2383;2699;2235;2200;2916;2290;2071;2030;1830;3457;2446;2633;2291;1173;2142;1609;1679;2764;2246;1788;1294;3290;2238;425;165;2353;2549;2220;1064;1056;685;1753;425;3030;2277;2345;1443;1041;1045;1746;3013;1106;2135;1822;778;778;1728;2836;2291;1698;2841;2289;1106;2836
1822;1443;2993;1277;1106;1781;3073;2993;1328;1221;2238;1364;1698;1106;3290;1064;1742;1709;2452;2661;2877;2936;425;1781;2238;383;2873;836;1715;720;2155;2020;641;2686;1032;1527;1710;1162;1456;2345;1925;2525;2755;2826;2357;2285;1181;1142;1217;2931;2742;1009;3093;3057;1871;3249;2976;2067;1836;2860;2931;778;2183;2954;744;2715;1836;2922;778;1042;114;2742;1909;1909;1456;3457;829;1738;2599;3290;1042;778;1473;895;1612;1676;2860;2345;887;1031;1590;778;2898;2173;2296;1710;2238;744;1610;1430
778;2860;2452;1142;2742;2860;2912;2901;1009;3457;1499;855;2858;2782;1789;1830;3290;836;2419;2150;1753;2898;693;1610;1941;2012;1722;1101;2338;2760;3290;1042;737;700;2083;2622;2171;2345;1830;2936;2295;2336;2877;2020;2936;3457;3290;3290;2277;2877;2661;720;2317;2729;2889;2932;2742;744;2850;2488;2314;2051;1445;1446;2876;2861;383;2742;3154;2374;641;2715;2238;2238;2944;1698;2618;2536;1989;1761;2346;2158;1610;641;2156;2102;1593;1433;3290;1830;383;2922;2944;1789;1258;2819;1443;2067;1917;2800
1156;1411;2332;2390;2027;2546;778;641;2661;1590;2314;1715;114;2860;3457;2860;1534;1746;2877;2742;1890;2137;2810;2365;2749;2853;2482;2327;2993;1009;3105;3129;862;1712;1830;778;383;1610;720;2661;3166;2982;1042;641;867;2012;2679;2409;1836;2817;2742;383;1652;1911;282;2574;1753;2860;2345;2353;2944;383;1430;921;2619;2063;1948;1662;1042;2916;2898;1042;1473;2944;2936;2173;1108;2297;1753;3290;2661;2877;2481;2718;114;1836;778;425;3290;1738;2345;2346;2241;2854;2219;1928;2920;2695;871;2428
1510;1448;3148;3167;383;1698;2150;2151;1930;2343;383;2173;2317;1676;2345;2353;2661;2858;2742;2944;2944;744;1537;1394;1789;383;2833;1773;1217;3290;2747;1837;2955;3118;2173;2052;2922;1217;1909;1909;2067;1610;1928;2063;2238;1830;1451;2464;1610;1948;1042;3105;2263;2717;1398;2090;2808;1950;2081;1977;2374;2640;3290;2944;3290;2954;2143;981;2312;1755;2917;2921;2877;2922;2892;2890;2238;2742;1709;2277;1863;2150;2860;3105;2333;3073;1951;2131;2499;2897;2916;2706;2996;3238;836;2860;2400;2409;2661;2742
2052;2860;778;2944;744;2173;1481;1681;1716;1378;2877;2860;1971;1523;1552;1357;2346;1753;2898;2063;1812;1756;2374;778;2860;1610;2317;3290;2080;3277;2877;1948;2374;2431;2742;2742;2860;2982;1955;1981;2749;1849;2664;1858;1042;1715;778;2877;1217;1217;2153;2403;2317;2982;2845;2277;2916;3129;1009;1738;1003;817;1581;1634;2788;1894;2238;1009;2922;1830;2032;2754;2928;2938;2876;2874;1937;1343;2519;2035;3290;2345;2350;2262;2238;2898;693;1451;2472;2338;2314;383;1951;2346;1042;2858;1803;1370;2277;2742
1381;2185;1662;3290;2067;2877;2944;2877;882;2788;1840;2220;3129;2131;1662;2877;1217;1217;2937;2929;383;3290;2661;2131;2102;1568;2720;2539;2374;1662;2655;2527;2742;2982;2383;2229;2898;2858;2877;2063;1773;887;2238;2877;1136;2306;2167;2061;1781;2277;2607;1417;1217;1698;3089;2426;2250;2162;2737;985;2860;2877;2369;1070;2346;1830;2664;2173;2982;778;778;2238;1808;1632;3277;1042;2815;2390;3457;2346;693;383;1933;976;1123;2492;2223;1911;1042;744;2238;2277;2383;3068;2771;3440;2173;1789;1894;3457
976;2346;778;2063;3290;1042;2005;1102;1715;2346;2877;2492;1436;2577;2250;2944;2775;2994;2345;3440;1950;2742;2857;2376;2173;1830;1610;2492;3277;1610;2877;3290;976;976;2257;2754;1379;2009;778;2860;2944;2944;2666;1212;1404;1420;2539;2657;1838;783;1702;1684;3457;2131;1738;1042;1042;2742;2250;1698;1951;1042;2346;2944;2471;1606;3012;1043;976;1217;2916;2277;2063;2661;2374;1698;2263;1941;1666;2085;2565;2530;2877;2742;976;3105;2686;2717;2173;2944;2741;2873;2382;2559;3303;2065;383;976;2754;2067
2149;2137;2492;1117;2944;2238;1042;2845;2922;3277;3457;383;2844;2751;2239;2676;1261;1986;2662;2552;2585;1993;2304;3071;2645;2443;3277;2085;2173;2742;3114;3281;2673;2588;3290;2661;2892;3277;3290;976;1863;1984;2737;3277;2277;693;2131;2173;2858;2492;2464;2409;2530;2131;2250;1042;2492;2238;2325;2152;1977;2665;2238;2858;2737;3290;2803;1613;2277;2922;2756;2294;2250;3440;3277;3277;1073;1565;3457;2944;1356;1160;2424;2837;3239;2896;2277;2922;2892;2877;3240;2972;2395;2871;2602;2394;2374;2374;3290;1042
1928;2277;2898;2916;1610;1613;2976;2238;2509;3440;778;2131;1327;3005;2922;2860;1761;3394;2253;2331;778;3457;2865;3283;1610;3457;1715;2424;2921;1846;1497;2618;1042;1613;2742;2173;2131;2860;2898;2063;2238;2892;910;2605;1590;1843;1716;2070;2517;2545;1715;2898;2870;2888;1389;824;2539;2699;2374;1042;2858;778;1261;3129;2639;2323;2008;1714;2957;2678;1986;1926;2754;2944;1261;1698;2277;2982;2175;880;2901;2881;778;2877;1261;2353;2825;1714;2424;2877;2310;2701;2877;3277;2541;2691;2922;1928;2916;778
3415;2088;2185;778;3207;2567;2545;2505;1988;2388;2845;3290;2738;2771;2172;2836;2922;2860;3290;778;3290;2877;1094;1075;3105;3440;1770;2562;1874;2046;2614;2670;2570;2109;2739;2740;2492;2898;2944;2257;2374;976;1009;3290;2841;2082;2374;3440;2860;1136;1188;2731;2630;2778;2289;3161;2742;2374;2277;2277;3333;1821;1662;2742;2944;383;2285;2307;2742;2238;1860;2414;2922;3290;2708;2934;1058;1245;2742;2314;3287;3280;2962;3027;2112;3043;1781;3457;1003;2757;2944;3277;2227;2235;2506;2810;2238;3290;3457;2238
908;1937;1734;2437;2374;2982;1386;1936;2314;778;2826;2463;2877;2858;854;900;2345;2173;1261;3440;2341;2241;3440;2374;3457;2492;2010;1874;976;1715;1217;2892;2623;1429;1990;851;1954;802;2495;2806;2202;2135;2858;1261;904;1937;1738;383;2860;2345;2504;2657;2661;1009;2131;2173;383;2374;1019;2271;2922;1009;2922;2982;1003;778;2409;778;2982;2742;1435;2053;1928;1009;3025;2964;3159;3247;2492;3290;1767;1958;927;983;881;3174;2346;1610;2151;2734;693;2173;1716;2944;2959;1327;2131;3129;2858;1160
1715;3457;2047;1421;3290;2944;2884;2891;2101;2491;1185;2041;2374;1613;1037;1061;2683;2900;1923;2024;2445;1959;2922;2877;2650;2646;2424;3290;1724;1692;2026;1854;2238;2944;2723;2680;1738;2877;2063;2661;2884;2377;3192;2348;2877;3105;1584;2484;2931;3268;1843;1784;1528;2373;2891;2878;1042;1003;3118;2651;2982;2860;2922;1662;2329;1776;1574;872;2944;3290;2067;2742;2892;2858;2661;3290;1628;1763;1645;1646;3129;693;2898;2766;2892;1003;2860;1261;1140;1609;2860;2922;1180;2496;1928;3457;2085;693;2858;3440
2831;2231;2342;2242;2758;2493;1042;1003;1765;3373;2063;2944;1809;1817;3105;2173;1879;2765;2605;2444;2892;2661;2916;1781;2424;1038;2892;1042;1904;1236;2315;2220;3290;2892;2040;1806;1319;1511;1738;383;3440;1738;2656;2271;1820;2033;2822;2249;2453;2582;2840;2289;2229;2216;2892;3457;1101;837;2345;2238;3440;1715;1613;2858;2461;1109;2238;3290;2919;2885;1698;2944;2108;2046;2877;2646;2582;678;2574;1894;2661;3457;1767;1356;3008;1324;2703;2920;2922;2860;2353;1548;2085;2877;1662;2424;1662;1217;1872;2040
2926;2392;1315;1161;2658;3006;1009;1009;2277;2898;2877;2131;2109;2022;2718;2613;693;1928;1721;1059;2055;1456;2577;2595;2084;2704;3290;2898;2285;2625;383;2858;2035;1872;2877;2877;2434;1784;2892;3129;2784;728;2906;2893;2582;1003;2871;2304;1854;383;2067;1042;1662;976;3133;3021;2922;1698;2827;2726;693;2944;2593;2821;2346;2582;2892;2661;1170;2071;2238;1136;3129;3290;2077;1959;2408;2424;1217;1610;2922;2374;2930;2891;2109;1738;2570;1814;2757;2437;2661;3440;2238;3290;3290;2922;1102;1076;3001;3211
2310;2709;2877;1715;2745;2338;939;2366;1715;2877;2384;2539;2813;2533;2170;2271;2737;2982;1003;976;1366;1678;2857;2421;2742;2374;2583;2222;2324;2726;1846;2055;2922;2922;1854;2858;2254;3371;2877;2858;1855;1890;2277;2944;2185;976;1236;1854;2424;2922;2337;2790;2877;2892;3457;2982;2944;693;2892;2661;1628;2173;2892;2742;1603;1101;2646;2944;1136;778;3129;2892;2346;2277;844;800;1980;2116;3277;2646;2410;2321;2922;2582;2139;2813;2183;1803;2661;2892;1431;2224;2637;2066;2922;2737;778;2877;936;2764
