individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
66;8;38;53;78;74;35;27;75;7;37;79;11;34;74;76;48;20;71;34;77;15;38;44;62;32;59;53;54;69;47;23;52;58;8;80;67;54;36;73;74;40;9;66;39;28;50;24;17;79;49;67;45;45;71;28;14;19;15;33;38;12;48;20;68;66;9;28;15;22;40;24;66;35;69;56;15;24;56;56;55;13;11;77;53;59;56;64;35;75;47;40;24;15;74;40;62;58;54;69
56;67;15;14;78;35;46;62;37;57;15;24;37;36;71;61;76;71;22;22;67;64;52;16;24;35;12;67;38;74;20;33;53;59;62;24;78;52;46;67;35;20;35;75;60;73;78;54;45;56;45;43;13;78;25;34;56;62;32;34;40;28;54;33;20;34;17;72;57;54;67;73;50;59;37;44;40;33;64;40;80;79;27;11;38;59;64;64;80;32;70;71;26;37;49;42;8;47;32;67
49;45;42;30;48;16;15;64;76;38;27;23;15;40;34;39;67;24;56;15;24;64;55;56;43;47;49;65;22;33;28;28;17;53;74;75;64;8;28;68;45;46;28;20;46;20;65;64;41;40;40;33;15;26;69;56;56;10;44;55;25;27;35;36;38;22;33;49;9;12;56;39;53;80;69;15;68;40;24;38;53;31;17;19;65;28;44;59;57;56;63;41;38;55;61;53;15;35;12;14
80;34;40;38;47;46;65;49;29;53;64;34;48;53;64;43;38;54;44;59;37;49;71;40;57;79;61;29;67;49;45;15;42;57;47;67;22;51;17;53;49;40;51;43;32;15;55;52;38;45;48;40;45;44;50;52;35;52;11;40;46;8;67;51;40;60;50;53;35;13;80;64;68;61;79;79;58;47;13;50;15;38;20;28;55;8;77;15;35;66;65;65;63;57;11;76;71;18;57;24
66;20;67;45;57;54;22;45;20;57;52;54;62;71;56;72;76;47;49;23;71;29;14;53;46;45;65;64;56;57;50;50;49;43;43;12;62;67;29;38;31;58;11;49;37;36;56;16;57;64;46;8;49;57;49;62;48;48;37;57;42;64;71;53;26;34;68;45;42;67;49;46;79;79;48;32;42;34;53;49;67;65;59;65;59;76;37;31;80;47;64;60;54;49;43;44;35;26;40;21
31;64;49;16;42;41;71;29;35;24;26;40;51;49;62;64;56;64;47;37;47;54;58;40;56;35;67;53;52;37;49;67;58;26;64;48;21;21;62;29;45;47;56;65;40;40;49;49;15;71;42;38;62;52;71;36;46;26;43;33;76;20;12;54;71;30;56;46;41;50;39;44;35;35;56;42;43;40;57;62;34;64;41;48;50;52;23;73;49;62;56;45;52;48;57;30;36;32;29;53
64;65;38;48;51;56;65;49;59;47;71;61;49;30;32;37;46;67;69;48;37;62;51;62;44;39;48;46;31;22;38;47;45;43;62;65;52;44;57;23;49;51;67;49;49;46;46;34;40;43;52;50;41;50;46;49;47;30;31;64;36;56;60;51;34;56;54;60;61;54;54;67;59;36;29;49;26;42;47;49;42;71;18;42;65;52;30;26;49;34;32;33;76;49;79;35;44;51;56;48
35;57;51;51;56;76;56;35;59;42;56;49;66;72;32;64;46;47;50;52;56;26;52;58;64;56;60;56;54;52;52;53;47;36;50;56;54;48;79;79;48;40;38;53;57;40;66;66;40;54;67;38;46;35;49;45;68;76;48;20;50;56;56;36;52;50;54;45;76;47;49;75;75;72;76;30;43;38;47;15;64;69;30;38;47;15;56;72;53;52;34;38;38;54;50;44;47;47;42;46
57;44;57;64;45;30;50;16;58;60;71;30;48;15;62;52;42;38;56;54;34;62;48;44;39;38;62;49;48;49;71;54;71;35;46;46;44;51;52;67;34;30;30;60;57;60;65;71;57;57;53;74;51;62;46;15;47;48;8;34;61;65;64;52;34;36;35;8;76;62;71;79;36;76;57;70;35;61;40;36;41;43;50;35;35;54;58;66;62;51;76;56;42;47;67;51;67;72;15;46
34;65;58;51;65;54;36;71;65;76;43;56;71;48;64;67;57;57;45;36;50;55;61;53;42;8;25;41;56;54;36;43;47;50;54;30;54;51;62;65;28;43;57;57;36;59;15;42;50;18;51;61;62;62;43;49;47;33;65;36;44;71;48;59;33;62;30;49;51;65;65;35;58;44;59;57;44;38;40;44;56;58;65;72;51;52;53;64;67;26;35;15;38;47;51;79;63;50;36;51
59;46;65;56;49;67;72;72;46;43;69;54;71;36;47;36;50;51;66;45;66;60;48;62;49;62;42;50;45;44;71;55;72;72;36;48;34;66;73;30;36;36;45;41;72;58;48;47;40;51;47;36;51;72;36;65;67;46;50;73;56;61;36;33;48;30;49;65;58;71;48;15;56;42;71;55;56;62;46;8;46;47;71;46;72;38;46;42;49;56;71;65;15;30;35;79;56;72;79;48
49;8;48;58;35;36;61;46;47;47;55;52;57;59;48;47;34;9;15;40;51;57;9;54;40;43;32;25;48;47;49;38;54;44;55;42;76;49;60;67;60;65;56;58;33;40;72;49;51;52;76;42;61;58;53;61;42;45;45;60;36;76;38;48;57;57;79;72;15;45;65;55;47;79;49;49;69;63;38;49;34;65;49;49;46;49;15;76;72;75;76;49;65;61;36;57;56;50;59;57
35;15;54;48;54;58;47;8;51;52;65;72;54;62;39;43;66;61;34;34;61;55;51;55;46;45;56;49;60;38;55;56;67;72;46;49;64;45;54;56;35;76;65;65;49;8;50;71;71;65;55;55;49;42;59;59;36;76;56;67;51;65;34;47;14;65;65;36;47;34;55;70;62;53;41;69;39;27;65;15;37;76;65;71;55;43;71;60;52;68;36;48;71;49;56;51;76;35;64;49
78;57;65;65;51;62;64;55;56;42;48;47;46;36;71;72;76;30;60;64;59;71;64;9;64;53;49;67;72;56;47;39;54;53;46;65;54;52;56;36;57;65;8;49;35;51;50;79;32;34;68;70;63;58;49;48;48;48;15;15;68;47;60;46;42;50;58;69;35;46;69;45;76;59;63;53;61;34;46;76;51;53;34;43;53;74;53;51;62;54;39;46;31;49;76;49;43;51;51;35
48;65;47;67;52;55;72;36;73;68;56;32;64;58;72;65;48;33;34;79;48;43;62;67;51;52;50;69;72;56;57;76;48;36;58;63;56;58;71;49;39;38;51;34;61;60;48;42;33;36;57;57;42;8;72;48;56;56;76;72;23;61;48;48;62;65;42;65;48;49;56;38;35;8;37;47;47;49;49;52;60;56;58;57;49;65;36;40;74;77;58;49;46;40;49;8;55;64;64;52
56;51;72;52;49;36;65;60;58;69;47;72;60;68;56;56;42;76;51;47;60;46;76;71;63;69;49;49;57;60;64;69;35;36;44;44;34;71;56;42;46;52;47;55;50;59;65;55;47;47;55;39;59;57;74;73;67;62;52;49;31;50;69;67;52;72;56;56;36;55;48;46;76;51;48;53;51;42;65;72;47;58;63;59;76;62;34;37;68;40;37;45;54;65;35;51;8;58;76;54
65;71;33;35;57;70;67;62;78;77;56;36;35;76;38;49;67;51;51;48;43;75;48;53;49;51;76;61;10;70;45;68;62;69;57;71;68;57;34;56;79;34;46;65;72;71;53;55;42;56;65;36;76;72;76;51;65;65;32;35;79;56;56;63;67;62;35;49;37;36;76;36;52;67;70;70;62;65;46;45;42;51;65;32;61;55;49;33;76;30;58;58;33;46;67;49;64;60;69;56
36;50;76;65;59;50;8;8;48;21;71;72;69;15;76;42;43;50;34;67;45;36;47;76;30;35;54;59;53;61;52;55;34;69;71;71;79;65;76;47;47;56;73;74;62;62;24;45;69;56;61;48;60;72;52;68;76;76;76;42;42;52;76;52;33;62;76;42;35;62;35;36;48;48;58;58;54;55;60;40;60;66;66;41;64;61;69;34;43;40;73;48;35;59;74;57;36;67;49;76
42;19;66;61;64;55;56;45;58;69;15;69;49;76;48;56;57;59;62;72;42;56;49;38;46;56;54;48;71;48;54;62;76;45;69;51;76;68;65;57;60;48;18;33;66;71;69;70;46;48;55;63;71;76;51;51;36;58;76;42;51;49;76;46;67;67;69;36;48;53;71;52;33;15;34;56;70;30;49;69;71;69;50;57;60;55;61;36;50;68;69;67;73;56;74;67;65;71;65;45
52;62;69;49;63;45;72;34;60;71;50;57;49;49;50;49;68;70;69;37;57;51;51;51;35;36;33;51;55;55;36;49;56;45;40;58;44;43;40;45;37;62;49;51;61;59;70;72;51;54;76;54;49;68;59;73;30;35;56;9;39;38;45;42;72;45;76;37;49;71;71;74;74;58;42;61;62;40;76;76;50;46;61;65;44;44;49;58;70;55;68;60;50;43;27;28;56;60;40;42
36;47;66;59;51;60;34;55;70;72;64;55;33;51;61;42;56;57;64;51;34;65;63;51;43;45;53;57;51;58;50;49;50;73;69;39;34;51;68;61;62;15;38;64;49;49;47;74;74;73;50;58;33;51;46;8;51;46;34;61;63;54;36;56;8;34;75;71;76;68;48;58;42;49;64;37;71;72;35;34;49;72;53;51;72;47;50;52;51;50;69;69;33;70;47;58;76;42;51;55
51;71;68;75;70;72;71;51;63;57;56;69;69;69;47;15;62;71;15;51;35;50;51;68;34;74;75;76;65;32;40;38;68;36;71;51;52;55;47;71;54;55;67;68;65;64;40;65;46;46;68;76;71;52;59;59;69;73;63;64;72;34;64;54;49;36;62;36;47;37;49;49;70;67;51;68;52;76;47;71;60;62;48;34;64;59;67;71;48;37;69;62;63;47;71;71;36;54;58;55
69;65;51;51;55;72;73;74;71;68;68;65;71;76;46;41;47;36;76;55;74;76;15;62;67;71;32;46;68;79;70;56;47;34;58;76;57;57;25;63;56;58;67;52;53;79;59;58;62;51;35;62;48;49;46;53;59;59;72;79;54;72;53;58;48;31;58;58;46;40;72;36;42;42;49;49;71;42;41;47;56;33;37;49;44;43;42;43;57;52;56;57;51;36;43;45;35;51;71;68
