individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;11,09001;15;15;15;15;15;15;40,00006;15;40,00006;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;5,311458;15;15;15;15;15;15;15;15;15;15;15;15;13,0061;40,00006;15;40,00007;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;40,00007;15;15
14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;39,99998;14,99998;14,99998;14,7419;77,50016;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;39,99997;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;27,49996;14,99998;14,99998;14,99998;14,99998;14,99998;39,99997;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,14925;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;39,99997;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;39,99997;14,99998;14,99998;14,99998;14,99998;14,99998;5,477852;14,99998;14,99998;14,99998;14,99998;14,99998;12,94113;14,99998;39,99997;14,99998;14,99998;14,99998;14,99998;39,99997;14,99998;14,99998
14,99999;14,99999;14,99999;40,00002;14,99999;14,99999;14,99999;14,99999;40,00002;14,99999;14,99999;14,99999;14,99999;14,99999;11,20869;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;40,00003;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;64,99998;14,99999;14,99999;14,99999;40,00002;14,99999;14,99999;14,99999;14,99999;6,234559;14,99999;12,27357;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;40,00003;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;13,01671;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999
15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;39,99998;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;39,99998;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;39,99998;15,00001;15,00001;15,00001;39,99998;15,00001;15,00001;15,00001;15,00001
15,00001;15,00001;15,00001;9,954762;15,00001;15,00001;15,00001;15,00001;15,00001;14,30734;15,00001;15,00001;15,00001;15,00001;15,00001;12,02588;15,00001;15,00001;15,00001;15,00001;65,00017;15,00001;15,00001;40,00006;15,00001;15,00001;15,00001;15,00001;40,00005;15,00001;12,49186;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;40,00005;15,00001;40,00005;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;40,00005;15,00001;15,00001;15,00001;14,30734;15,00001;15,00001;15,00001;15,00001;15,00001;40,00005;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;6,211325;15,00001;15,00001;40,00005;15,00001;15,00001;15,00001;15,00001;15,00001;40,00005;40,00005;15,00001;15,00001;40,00005;15,00001;40,00006;15,00001
14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;65,00027;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,00075;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;39,99998;65,00018;14,99999;39,99998;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;39,99998;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;39,99998;14,99999;14,99999;14,99999;14,99999;14,99999;32,66179;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;39,99998;39,99998;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999;14,99999
15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;40;40;15;15;15;40;15;15;15;15;15;52,49991;15;15;8,060364;15;15;15;15;15;15;6,497759;15;15;10,19943;15;15;15;15;15;52,49993;7,675759;15;15;15;40;20,18622;40;40;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;11,12485;15;40;40;64,99982;15;15;15;40;15;15;18,1027;15
15,00001;11,37569;15,00001;15,00001;10,45902;15,00001;15,00001;15,00001;15,00001;15,00001;10,03606;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;39,99996;39,99996;15,00001;15,00001;39,99996;15,00001;15,00001;15,00001;19,30922;15,00001;15,00001;14,73069;39,99996;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;39,99996;15,00001;14,30267;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;39,99996;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;39,99996;15,00001;15,00001;50,26158;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;24,92565;15,00001;15,00001;15,00001;15,00001;15,00001;89,99989;15,00001;39,99996;25,48456;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;39,99996;52,49992;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;15,00001;39,99996;15,00001;39,99996;39,99996;15,00001
13,84144;14,99998;14,34122;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;64,99979;14,99998;14,99998;14,99998;14,99998;14,99998;39,9999;39,9999;14,99998;14,99998;14,99998;14,99998;14,99998;39,9999;14,99998;14,99998;14,99998;14,99998;64,99978;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;39,9999;14,95716;14,99998;14,99998;14,99998;14,99998;14,99998;39,9999;39,99989;14,99998;8,344625;14,99998;14,99998;14,99998;39,9999;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;39,9999;14,99998;27,49995;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998;39,9999;39,9999;27,49995;14,99998;14,99998;14,99998;14,99998;14,99998;14,99998
15;40,00005;15;15;15;15;15;15;15;15;15;15;15;27,49997;15;15;15;15;15;15;15;40,00006;15;15;15;15;15;15;40,00006;15;15;15;15;15;15;15;15;15;15;15;15;23,86841;15;15;40,00005;12,62934;15;15;15;15;15;13,53824;15;15;15;13,96418;65,00004;15;40,00006;15;15;15;15;15;15;15;15;15;15;27,49997;15;15;15;15;15;10,20705;15;15;15;15;14,42535;15;15;40,00006;15;40,00006;15;15;15;8,438457;15;15;15;15;15;40,00006;15;15;15;40,00006
