Best;Top3;Top5;Top10;Population
40,00007;40,00007;40,00006;27,50003;16,09406
77,50016;52,50004;47,50001;39,99998;17,37307
64,99998;48,33335;45,00002;32,50001;16,57732
39,99998;39,99998;34,99999;24,99999;15,99998
65,00017;48,33343;45,00008;42,50006;18,04301
65,00027;56,66681;50,00008;41,76621;17,66661
64,99982;56,66655;49,99993;44,99997;18,26845
89,99989;64,25379;54,55226;47,27611;19,58383
64,99979;56,66649;49,99986;44,99987;18,6648
65,00004;48,33339;45,00006;42,50005;17,9207
44,16661;41,38885;40,83331;40,41664;18,37038
52,50002;44,16667;42,5;41,25;17,83826
39,99997;39,99997;39,99997;32,49998;16,74999
98,33347;67,77776;56,66665;46,04983;18,04671
39,99997;39,99997;39,99997;39,99996;17,57996
52,49997;45,55554;43,33332;41,66666;18,39143
90,00012;60,18981;52,11388;46,05693;18,32507
39,99998;39,99998;39,99998;39,99998;18,8485
115,0003;81,66669;66,75934;53,37967;20,3523
56,66664;45,55555;43,33332;35;16,97645
56,66662;45,55555;43,33333;37,40551;17,08774
39,99998;39,99998;39,99998;39,99998;17,74998
40,00001;40,00001;40,00001;30,00001;16,45561
77,49995;52,49996;47,49996;43,74996;18,60136
77,5;64,16664;54,49998;45,61502;17,99857
40;40;40;32,5;16,74999
64,99998;48,33332;44,99998;34,99998;16,97616
90,00016;69,1667;57,50003;48,75002;18,44493
56,66663;45,55555;43,33333;36,25;17,03705
52,49995;44,16665;42,49999;41,25;18,12827
64,99997;48,33332;44,99999;42,5;18,20299
77,50008;52,50003;47,50002;43,75001;18,73461
40,00002;40,00002;40,00002;40,00002;18,3455
40;39,99999;39,99999;40;17,23171
40,00002;40,00002;40,00002;37,50001;17,23118
90,00018;69,16673;58,11911;49,05956;18,67464
65,00001;48,33332;44,99998;42,49998;18,65302
39,99999;39,99999;39,99999;40;17,39647
64,99998;48,33332;44,99999;42,5;19,10027
56,66664;49,7222;45,83332;42,91666;18,10766
115,0002;90,0001;78,47312;59,23656;20,62378
39,99999;39,99999;39,99999;39,99999;17,40673
64,99996;52,49998;47,5;43,75;18,03026
39,99998;39,99998;39,99998;39,99998;18,2017
65;48,33334;45,00001;42,50001;17,82542
64,99989;54,99994;48,99996;44,49998;18,81992
64,99995;48,33331;44,99998;41,85851;17,66753
64,99989;48,33329;44,99997;42,49998;19,14688
64,99995;48,33332;45;32,5;16,63635
64,99992;56,66659;49,99995;44,99996;18,02508
65;51,11109;46,66665;36,35526;17,01829
39,99998;39,99998;39,99998;39,99998;17,89568
39,99998;39,99998;39,99998;37,49998;17,242
39,99998;39,99998;39,99998;36,24998;17,07595
64,99998;48,33333;45;42,5;17,77109
64,99989;52,49993;47,49995;43,74997;18,75759
64,99997;54,58333;48,75001;43,12501;17,82386
52,49995;44,16665;42,49998;41,24998;19,26671
64,99992;60,83327;52,49996;46,24998;18,90932
52,49998;44,16669;42,50003;40,00004;17,4833
40,00003;40,00003;40,00003;40,00003;18,13993
39,99999;39,99999;39,99999;37,49999;17,24998
65;56,66665;49,99999;45;18,39696
77,50008;67,08333;58,74999;49,37499;19,07322
64,99997;56,66663;49,99998;44,99999;18,37831
64,99998;54,58333;48,75;44,375;18,84183
77,50012;52,50003;47,50002;41,25;17,53011
65;48,33335;45,00002;37,50001;17,20296
64,9999;48,33329;44,99997;42,49998;18,80936
64,99992;48,33331;44,99998;42,49999;18,54843
40;40;40;37,5;17,08541
64,99987;51,11105;46,66662;43,33331;19,02691
90,0001;56,66672;50,00005;45,00004;19,10035
77,49999;64,60327;56,01195;48,00597;19,92444
64,99994;48,3333;44,99997;42,49997;17,65016
83,74995;58,74996;51,24997;44,85795;18,19108
64,99998;48,33331;44,99998;42,49997;17,99176
77,50018;69,16673;60,00003;50,00002;19,3
64,99998;62,22218;53,33331;46,66665;18,81783
64,99986;48,33327;44,99996;33,5686;16,75746
90,00005;67,2341;56,34046;48,17023;19,1524
59,99998;46,66667;44,00001;42,00001;18,44295
64,99986;48,33327;44,99996;42,49997;18,24998
52,49998;44,16665;42,49998;41,24998;17,87498
64,99991;52,49994;47,49995;43,74996;19,01212
64,99998;64,99997;54,99998;47,49999;19,495
52,49993;44,16665;42,49999;34,46838;16,83924
64,99993;48,33331;44,99998;42,49999;18,81717
77,49992;64,99997;54,99999;47,5;19,46015
64,99987;60,83322;52,49992;46,24995;19,40072
64,99992;64,99991;54,99993;47,49995;19,36676
39,99998;39,99998;39,99998;39,99998;17,74896
64,99995;52,49996;47,49997;41,78656;17,67384
58,75;46,25003;43,75003;41,87504;18,13583
40,00002;40,00002;40,00002;40,00001;19,20284
65,00007;48,33335;45;42,5;19,76292
64,99999;48,33331;44,99997;42,49996;17,76498
