individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
20;70;47;85;55;29;19;55;36;58;33;70;40;17;2;60;14;30;55;48;84;9;60;86;65;67;66;3;56;96
47;2;95;86;20;3;96;19;14;17;19;60;30;48;56;60;33;36;32;26;55;70;45;31;42;63;96;2;45;73
47;85;44;52;50;32;21;41;2;65;63;32;85;19;70;3;20;20;66;73;63;20;96;47;92;6;56;47;2;2
20;21;54;41;36;30;50;65;47;50;63;19;19;32;19;19;55;63;21;20;33;20;32;63;62;48;37;25;33;55
44;20;19;63;53;29;25;25;25;28;21;43;63;20;20;19;34;35;48;32;27;55;47;42;33;33;27;55;19;63
51;39;29;31;32;63;61;37;51;31;63;63;32;33;31;57;51;31;63;63;23;21;63;25;63;25;29;31;22;24
27;63;25;63;61;27;29;31;22;27;58;44;63;63;40;42;25;31;63;63;33;63;63;22;33;63;33;31;55;33
61;29;19;63;47;41;55;27;44;63;19;63;31;57;39;30;56;38;46;36;21;31;63;63;47;43;49;43;19;25
19;19;42;56;63;19;36;19;19;63;35;53;27;36;63;63;24;22;63;27;30;52;19;19;19;27;19;41;19;36
41;63;38;30;32;56;25;30;30;27;38;52;19;27;22;35;42;40;19;27;41;36;19;63;63;19;56;48;36;46
36;36;21;19;33;30;20;20;63;22;56;45;35;21;27;19;59;23;45;37;63;63;63;63;30;63;41;63;50;40
30;41;36;19;37;53;33;33;31;51;25;20;20;21;23;37;25;59;24;33;21;35;27;27;31;34;28;54;21;20
37;27;21;20;22;39;36;36;26;21;28;28;29;34;27;41;63;21;27;27;63;20;38;37;63;19;20;36;63;20
20;20;22;26;30;35;21;20;37;37;28;63;63;37;27;31;37;27;20;36;36;29;24;24;22;26;22;36;20;20
20;27;41;20;30;24;41;27;20;21;27;20;63;27;20;31;21;20;19;35;20;63;20;27;19;31;24;33;24;63
20;21;21;26;26;22;27;27;36;36;31;21;21;36;20;20;20;31;20;20;20;21;20;20;21;37;41;24;22;26
22;37;33;35;26;63;27;19;24;20;23;22;31;24;26;41;25;30;22;26;31;20;27;24;22;20;31;24;19;26
63;24;21;27;22;31;21;20;21;21;20;20;24;20;20;20;22;20;20;21;21;22;31;31;20;28;31;21;31;27
23;22;22;21;24;22;22;24;20;31;21;31;22;35;23;25;30;22;20;20;20;19;31;27;21;21;20;21;31;19
24;21;27;23;22;21;25;24;22;21;20;20;21;26;21;24;37;20;21;21;20;24;31;21;24;27;23;25;21;20
27;31;21;23;31;22;20;23;23;24;21;22;22;27;22;22;20;31;25;25;20;21;21;27;24;24;24;27;20;20
23;21;27;27;22;31;20;26;21;21;20;22;21;21;26;24;21;31;21;24;23;20;21;22;23;25;21;21;20;20
20;22;22;31;22;22;21;20;22;22;24;24;26;21;31;23;31;21;24;20;28;24;31;22;31;24;30;22;22;24
21;31;20;23;22;24;23;31;22;31;23;28;22;20;23;26;21;22;23;22;26;27;22;22;31;20;31;23;24;23
31;26;22;23;23;30;22;22;21;20;31;20;23;23;22;31;25;22;22;20;21;22;20;22;31;26;26;25;31;22
26;22;24;25;21;21;22;21;20;31;20;31;24;26;21;21;31;20;26;21;21;21;31;31;31;23;26;27;29;22
24;29;31;22;21;31;21;22;20;22;31;31;24;27;31;22;25;27;28;29;28;26;20;22;31;21;31;31;31;20
23;23;23;23;31;22;31;31;20;21;22;22;23;25;22;22;23;21;31;31;31;31;24;27;21;22;27;31;21;26
22;23;29;23;23;23;23;22;31;26;23;21;23;31;24;29;21;22;24;22;24;22;23;22;23;31;26;26;21;21
23;27;21;24;21;31;21;23;23;24;26;21;23;22;29;24;20;27;22;21;22;23;24;23;25;28;21;23;25;22
24;21;26;28;26;31;21;21;21;21;24;23;23;23;21;22;21;22;22;23;23;30;21;24;24;30;23;31;31;22
26;23;23;24;31;23;25;23;21;21;22;24;31;31;29;23;27;26;22;22;28;28;22;31;24;25;26;23;22;23
21;31;24;30;22;22;28;27;26;31;22;21;23;23;26;28;31;23;27;26;25;23;27;24;22;24;31;31;23;31
29;25;22;23;23;24;23;22;31;31;31;31;21;23;31;22;29;24;27;27;24;22;31;23;26;23;23;21;31;21
20;21;22;21;29;25;26;29;21;21;23;20;22;22;20;20;31;22;22;22;23;31;31;23;24;21;23;21;21;27
23;22;31;22;23;20;23;26;25;29;29;23;23;24;21;21;22;22;22;25;22;25;23;22;23;21;25;23;23;22
22;31;27;26;24;22;25;24;22;31;25;29;31;31;23;24;23;22;31;21;30;24;31;22;29;29;23;23;27;28
23;20;31;21;23;23;20;23;23;22;31;22;31;22;27;23;27;24;21;31;24;23;21;21;23;22;25;26;27;24
31;20;20;20;24;22;24;24;31;22;23;23;21;23;24;23;22;24;21;24;31;24;21;21;22;23;31;27;22;22
23;22;31;21;22;24;23;21;21;27;26;22;22;24;20;23;23;22;22;23;26;25;23;22;23;22;26;31;24;23
28;25;26;22;22;25;21;22;21;22;20;23;23;24;24;23;24;24;22;23;22;23;24;24;27;27;27;26;22;22
23;23;20;21;24;24;23;23;21;20;21;21;22;21;24;25;22;22;23;31;26;24;25;26;24;23;23;24;22;21
22;31;24;31;28;30;23;22;24;26;31;24;22;23;23;22;23;24;27;23;26;24;26;25;23;22;21;21;21;20
21;20;26;21;29;26;30;25;23;23;23;24;27;26;23;24;21;22;20;23;20;21;24;26;27;27;24;23;27;21
31;23;24;20;26;22;24;21;21;31;21;22;24;27;23;21;22;21;27;24;25;22;24;21;22;23;23;23;27;20
22;24;31;26;27;21;20;24;21;22;24;25;23;24;29;25;24;22;23;21;25;23;23;21;24;27;22;23;23;22
22;21;21;23;21;21;20;20;25;23;20;26;23;31;23;23;21;21;21;22;25;26;25;23;24;26;21;20;26;27
23;22;22;23;24;24;24;27;21;21;28;27;22;21;25;25;21;31;26;25;21;21;22;22;23;22;20;22;21;20
21;22;22;26;20;22;21;23;22;21;31;22;23;23;21;21;22;23;24;23;21;23;31;22;23;24;22;22;22;20
23;23;31;21;26;29;29;29;23;27;22;20;24;24;21;27;23;22;23;27;21;23;21;20;22;21;23;23;23;20
23;24;28;25;21;22;22;21;27;22;26;24;25;25;23;23;23;23;21;22;22;21;22;22;23;20;26;23;21;23
21;31;21;21;22;23;24;21;23;21;27;27;21;21;23;22;22;22;23;23;21;24;21;24;22;23;26;20;20;20
22;21;26;22;20;23;23;22;26;24;23;24;26;24;22;26;25;22;24;31;27;24;27;20;26;23;22;27;20;27
23;22;21;23;21;21;23;22;23;21;22;23;22;22;24;23;24;23;23;22;26;23;27;23;24;21;21;26;23;26
24;23;21;31;23;20;21;21;21;21;27;22;24;25;21;21;22;21;31;23;23;23;23;21;22;22;21;24;24;27
23;23;21;24;23;21;23;23;23;21;27;21;22;27;23;22;23;25;23;24;24;24;24;24;23;23;22;22;24;23
21;27;23;22;23;22;26;25;25;20;22;23;24;27;22;21;23;20;22;21;25;21;23;23;22;23;22;22;21;24
22;22;27;25;23;23;24;23;23;24;24;23;27;21;23;24;24;23;24;21;25;26;21;24;22;24;24;23;27;27
25;24;23;21;21;21;23;22;22;23;23;23;21;21;25;21;23;25;21;21;22;22;23;25;22;24;21;22;25;21
21;20;21;21;21;24;21;21;24;23;23;24;21;21;23;21;21;21;27;27;22;27;24;21;22;22;25;27;24;27
23;24;22;23;21;23;22;23;21;21;23;23;24;23;20;21;21;21;24;30;24;22;28;25;22;21;22;27;21;24
21;21;26;22;24;23;24;23;23;23;21;21;22;21;27;27;27;27;23;23;22;21;22;23;26;22;24;27;22;21
21;27;20;21;26;23;23;22;21;22;23;25;23;22;22;23;23;21;23;24;23;21;21;23;22;22;20;21;26;24
26;22;20;20;25;25;21;21;21;20;23;22;23;24;23;21;23;23;21;31;20;23;21;26;21;20;20;27;25;21
21;27;21;22;25;24;25;23;22;23;21;27;25;25;23;24;22;22;23;23;23;25;24;23;23;24;24;26;22;21
23;22;23;23;20;22;21;24;26;23;27;21;22;23;22;21;21;23;25;24;21;23;23;22;24;27;21;27;21;26
22;22;24;24;23;23;27;21;22;24;23;21;23;24;24;27;27;23;23;22;24;26;22;26;27;25;21;21;24;24
25;23;21;23;23;23;22;22;23;25;21;23;23;24;23;26;21;21;21;25;20;21;21;23;23;27;22;22;22;22
23;21;20;21;21;23;25;24;21;21;27;24;21;23;23;22;26;22;24;23;23;21;25;22;25;25;22;24;22;22
