individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
6;71;46;59;17;84;18;20;23;80;18;75;35;99;27;40;49;66;53;67;81;27;29;97;23;41;0;10;49;5
46;27;59;5;6;10;5;18;49;99;22;25;66;67;49;29;18;23;21;42;20;75;46;84;52;13;17;15;18;59
47;58;13;18;20;15;28;30;16;22;14;20;59;22;75;10;6;6;0;59;8;11;5;46;15;5;49;46;27;27
9;25;21;8;28;18;21;22;24;42;14;21;20;22;22;22;53;8;28;6;18;6;18;11;46;8;52;11;18;53
13;6;22;8;14;22;11;11;14;13;11;8;13;9;16;12;15;21;8;20;19;16;24;52;11;8;22;13;17;13
17;18;8;22;20;13;19;15;22;13;13;14;18;10;11;13;22;8;13;13;21;12;8;11;9;10;11;21;11;28
22;13;9;10;11;8;8;8;22;6;18;13;13;14;12;12;8;11;13;13;8;13;13;11;12;9;8;8;13;11
8;9;15;20;10;9;22;9;13;13;15;16;10;11;14;20;13;8;15;20;11;9;9;9;10;11;21;14;18;14
15;22;11;11;14;14;20;22;14;14;9;10;8;20;13;9;17;20;9;9;14;21;15;15;9;22;15;9;18;17
9;9;9;9;9;10;10;14;14;8;12;9;22;9;11;9;17;18;15;9;17;12;22;9;9;22;12;11;9;22
20;20;20;13;10;10;17;16;11;13;12;13;9;11;21;9;22;9;22;9;12;10;9;9;10;13;9;9;13;8
9;9;21;21;9;8;20;14;22;9;10;16;16;11;9;9;10;10;16;18;14;14;11;18;10;13;22;13;11;16
9;8;11;16;16;9;12;20;19;18;12;16;11;19;8;9;9;11;8;8;11;14;12;9;13;22;15;13;13;16
16;14;16;16;9;12;14;13;9;9;12;9;9;9;9;11;9;8;16;12;13;12;11;8;16;16;10;10;16;14
21;16;11;12;9;22;9;21;16;11;14;10;9;8;15;12;11;16;14;17;15;10;13;11;22;11;12;13;11;9
13;12;8;10;10;9;8;8;11;9;11;11;12;11;10;16;13;15;16;16;14;13;16;16;11;9;11;9;9;11
9;9;10;10;10;9;8;22;9;10;11;11;10;10;10;9;11;9;10;10;12;10;12;16;9;16;12;11;20;12
