individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
91;175;90;148;87;97;172;127;192;67;35;132;123;53;188;111;54;180;35;26;190;194;104;151;140;168;181;81;114;73
90;188;148;73;83;89;73;172;53;54;115;161;180;26;112;106;35;192;81;35;127;132;92;95;148;91;90;171;104;79
90;148;91;35;107;99;91;148;168;143;83;89;148;115;132;89;91;83;102;158;91;91;84;79;171;73;102;100;188;188
91;91;86;86;91;104;137;110;99;87;91;115;91;113;115;115;68;58;84;90;35;91;88;84;90;91;148;91;35;35
91;91;115;91;107;99;91;91;35;91;91;91;91;91;102;103;91;91;90;90;91;115;99;148;91;86;94;112;103;103
94;103;87;93;89;91;103;91;115;91;103;91;89;86;91;103;115;91;91;91;92;114;91;91;91;91;91;91;91;84
94;91;91;91;91;91;88;90;99;91;100;94;91;103;101;93;91;91;103;103;86;103;91;91;86;103;86;91;91;91
91;91;97;109;91;103;115;103;94;103;115;91;103;91;99;101;103;91;103;115;114;91;103;103;86;103;99;91;103;103
104;108;103;103;103;97;115;115;101;99;103;91;112;94;103;103;96;95;103;103;113;105;97;97;103;115;101;99;97;115
103;103;103;103;91;103;91;113;113;112;112;91;108;103;91;103;103;115;97;103;99;115;108;103;112;106;103;103;109;109
115;115;111;111;115;112;115;114;103;91;93;110;106;111;112;108;108;103;105;106;103;103;103;103;106;110;103;103;108;107
103;103;115;108;108;107;115;113;108;103;91;114;114;114;104;105;114;103;112;108;115;114;112;112;103;113;108;91;114;114
106;112;114;114;114;103;115;115;114;112;114;115;115;103;112;103;103;114;112;112;112;105;110;108;103;108;114;115;103;114
106;113;114;115;108;114;114;114;106;106;107;110;104;107;107;113;106;112;114;115;113;108;114;112;115;114;114;106;114;105
112;114;103;105;103;108;103;112;114;114;112;114;103;112;114;113;114;114;108;103;114;103;114;112;109;112;108;114;114;103
114;105;112;114;112;114;112;112;113;103;113;114;115;114;114;114;114;113;114;114;114;114;114;114;114;106;103;114;114;107
113;107;113;106;114;103;109;111;114;114;114;114;113;114;105;112;114;113;114;114;113;114;113;114;114;114;114;113;113;109
113;104;114;112;114;113;114;114;114;114;114;105;114;114;114;114;114;114;114;114;114;114;113;113;114;115;113;114;113;112
114;114;114;114;114;114;114;114;114;113;114;113;114;106;114;115;114;113;114;114;114;108;110;110;114;114;114;114;113;108
114;114;115;114;114;114;114;112;114;114;114;114;114;114;114;114;106;114;114;114;114;114;114;113;113;114;114;112;114;114
112;113;114;114;113;114;114;114;112;114;114;114;112;114;114;114;114;113;114;114;114;114;114;112;114;114;113;114;114;114
114;114;112;112;113;114;114;114;114;114;114;114;114;114;114;112;113;114;114;114;114;114;114;114;114;114;114;114;114;114
114;114;113;114;114;114;114;114;114;114;114;114;114;114;114;113;114;114;114;114;113;114;113;114;114;113;113;114;114;114
114;114;114;114;114;114;113;114;114;113;114;113;114;114;113;113;114;114;114;114;114;114;114;114;114;113;113;114;114;114
114;113;114;114;113;114;114;114;114;114;113;114;114;114;114;113;114;114;114;114;114;114;114;114;114;113;113;114;113;114
114;113;112;114;114;114;114;114;114;114;114;113;114;112;113;114;114;114;114;114;114;114;114;113;114;113;113;114;113;114
113;113;113;114;114;113;114;114;114;114;114;114;114;113;114;114;114;113;112;113;114;113;114;114;114;114;114;113;113;114
114;114;114;114;114;113;113;113;114;114;114;113;114;114;114;114;114;114;114;113;114;114;113;114;114;114;113;112;114;114
114;114;114;114;114;114;114;114;114;114;114;114;114;114;113;114;114;114;114;113;113;114;114;114;113;114;113;113;114;114
113;114;114;114;114;113;114;114;114;114;114;113;114;114;114;114;114;113;113;114;114;113;114;114;114;114;114;114;114;114
114;114;114;114;112;113;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;113;113;114;114;114;114
114;113;114;114;114;113;114;113;114;114;114;114;113;113;114;114;114;114;114;114;114;113;113;113;114;114;113;112;114;114
114;114;114;113;114;114;114;114;112;114;114;114;113;114;113;114;114;114;114;114;114;114;113;114;114;114;114;114;114;114
113;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114
114;114;114;114;114;113;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;113;114;114;114;114;114;113
114;114;114;114;114;114;113;114;114;114;114;113;114;114;114;114;114;114;114;113;114;114;114;114;114;114;114;114;114;114
114;113;114;114;114;114;114;113;114;114;114;114;113;114;114;114;114;114;114;114;114;114;114;114;114;113;114;114;114;113
114;114;114;114;114;114;114;114;114;114;114;114;114;114;113;114;113;114;113;114;114;114;114;114;114;114;114;113;113;114
114;114;114;114;114;114;114;114;114;114;114;114;113;114;113;114;114;114;114;114;114;114;114;114;114;114;113;113;114;114
114;114;114;114;114;114;114;114;113;114;114;113;114;114;114;114;114;114;114;114;114;114;113;114;113;114;114;114;114;113
113;114;114;114;113;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;113;114;114;114
114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;113;114;114;113;114;114;114;114;114;113
114;114;114;114;113;113;114;114;113;114;114;114;114;114;114;113;114;114;114;113;114;114;113;114;114;114;114;114;114;114
114;114;114;114;114;114;114;114;114;114;114;114;113;114;114;114;113;114;114;114;114;114;114;114;113;113;114;114;114;113
114;114;114;114;114;114;114;114;114;114;114;114;114;113;114;114;114;114;113;114;114;114;114;114;114;114;114;114;113;114
114;114;114;114;113;114;114;114;114;114;113;114;114;114;114;114;114;114;114;114;114;113;114;114;114;114;114;114;114;114
114;114;114;114;114;114;114;114;114;114;114;114;113;114;114;114;114;114;114;114;114;113;113;114;114;114;114;114;114;114
114;113;114;114;114;114;113;114;114;114;114;114;114;114;114;113;114;114;113;114;114;114;114;114;114;114;113;114;114;114
114;114;114;114;114;114;114;114;114;114;113;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114
114;114;114;114;114;114;114;113;114;113;114;114;114;113;114;113;114;114;114;113;114;114;114;114;114;114;114;114;114;114
114;114;114;114;114;114;114;114;113;114;113;114;113;114;114;114;114;114;114;114;114;113;114;114;114;114;113;114;114;114
114;114;114;114;114;114;114;114;114;114;113;113;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114
114;114;114;114;114;114;114;114;113;114;114;114;114;114;114;113;114;114;114;114;113;114;113;114;114;114;113;114;114;113
114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;113;113;114;114;114;113;114;114;114
114;114;114;114;114;114;114;114;114;114;113;114;114;113;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;113
114;114;114;114;114;114;114;114;114;114;113;114;114;113;114;114;113;114;114;114;114;114;114;114;114;114;114;114;114;114
113;114;114;114;114;114;114;113;114;114;114;114;114;113;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114
114;114;113;114;114;114;114;114;114;114;114;114;114;113;114;114;114;114;114;114;114;114;114;114;114;114;114;114;113;113
114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114
114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;113;113;114;113;114;114;114;114;114;114;114;113
114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;113;114;114;113;114;114;114
114;114;114;114;114;114;114;114;114;114;114;114;114;114;113;113;113;113;114;114;114;114;114;114;114;113;114;113;114;114
113;114;114;114;114;113;114;114;114;114;113;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114
113;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;113;114;114;113;114;114;114
114;113;114;114;114;114;114;114;114;114;114;113;114;113;114;114;114;114;114;114;114;114;114;114;114;114;113;114;114;114
114;114;114;114;114;114;114;114;113;114;114;113;114;114;114;114;114;114;114;114;114;114;114;114;114;113;114;113;114;114
114;114;114;114;114;114;113;114;114;114;114;114;114;114;114;113;113;114;114;114;114;113;114;114;113;114;114;114;114;114
114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;113;114;114;114;114
114;114;114;114;114;114;114;114;114;114;113;114;114;114;114;114;113;114;114;114;114;114;114;114;114;113;114;114;114;114
