individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
18699;11947;17231;13769;10837;14539;11331;12609;11597;19116;17412;14603;17057;15551;13505;12136;15119;13384;17176;11145;14010;16278;18850;10171;16449;11075;10940;13866;13468;10903
14539;11947;16478;17202;16414;16194;13769;14539;13769;18699;12136;18699;14010;14603;15119;17412;10903;16449;14539;14603;16449;16449;13769;16278;18911;14808;14374;11496;14346;14026
16414;15551;11136;15252;11947;19116;13769;16194;11092;16005;10837;11597;11012;11488;14603;13769;14402;14575;18099;18012;12236;13669;12136;16414;12495;14602;13912;14742;15869;15148
15551;14603;14043;15017;17412;17057;15551;15551;15551;16414;11859;13756;14539;16414;14914;11831;13223;14464;16414;16414;14603;11488;16194;17412;15776;14330;17412;17057;16292;15374
16194;14539;14600;15490;11597;15374;16317;15471;14963;11425;14603;14539;15717;15851;15551;16414;16414;15551;15551;11012;11012;11012;15801;15944;14539;15252;15551;14603;14603;15017
11912;15059;14603;14603;15551;11012;16000;15904;16356;16252;12481;14587;14600;15252;15074;14778;15490;15551;16334;15797;14601;14602;14600;15490;15465;15504;15860;15885;11012;16194
11876;14388;13316;12299;15551;14603;13970;12532;15551;15551;14601;14602;15481;14623;14575;14567;14539;14603;14600;15252;12420;13192;15074;14602;15422;15381;15256;14851;15009;14665
15381;14623;15121;14731;11744;13868;15551;11876;14600;14603;14600;14603;15232;14623;14603;14603;15477;15455;15525;15278;15321;15312;15252;15551;14603;15074;14993;14859;14603;15074
14859;14603;14600;14600;14859;15551;14600;15252;11876;15551;15074;15551;15100;15226;14623;14623;15121;14603;14600;15252;12746;14382;14600;11876;14603;15252;14871;14981;15247;15152
11876;11876;14603;14600;14859;15074;13121;13358;14600;11876;15252;15252;15121;14600;15252;15252;14600;14600;14623;14859;15000;14744;14603;11876;14623;15074;14858;14816;14600;11876
14228;12251;14858;14600;14603;14600;14603;14623;14600;14600;14694;14673;14744;14623;14859;14859;14776;14682;14744;14600;14693;14674;15074;15074;14859;14859;14859;14744;14749;14712
14781;14822;14690;14792;14858;14744;14685;14608;14805;14798;14744;14600;14600;14600;14600;14859;14603;14600;14850;14608;14726;14618;14600;11876;12702;13774;14858;14600;14859;14744
14859;14744;14600;14600;14636;14657;14600;14600;14878;14974;13121;14600;14623;14744;14640;14653;14735;14627;14600;14600;14635;14658;14649;14818;13745;14628;14600;15252;14744;14600
14600;13121;14766;14759;14744;14600;14781;14744;14600;14744;14659;14657;15252;14600;14744;14600;14724;15146;14670;14789;14600;14600;14744;14600;14600;14618;14781;14600;12719;13901
14744;14781;14688;14693;14652;14747;14859;14744;14624;14634;14744;15252;14646;14698;13187;14561;14658;14781;14621;14606;14608;14600;14781;14600;14753;14772;14600;14781;14600;14600
14744;14747;14744;14600;14600;14744;14600;14600;15252;14781;15252;14747;14608;14658;14600;14600;14600;14600;14614;14609;14681;14663;14623;14600;14620;14733;14600;14600;14618;14747
14681;14721;14606;14600;14746;14619;14744;14658;14606;14600;14636;14600;15252;14658;14744;14618;14721;14641;14618;14600;14753;14744;14674;14679;14691;14679;14600;14600;14600;14600
14600;14600;14670;14667;14600;14658;14658;14635;14600;14600;14610;14669;14753;14600;14620;14616;14656;14697;14658;14658;14773;14761;14753;14679;14658;14600;14600;14600;14708;14636
14651;14693;14610;14600;14600;14744;14600;14600;14600;14600;14753;14747;14744;14753;14600;14600;14658;14600;14610;14618;14639;14619;14610;14658;14618;14618;14606;14600;14604;14606
14658;14747;14610;14600;14744;14600;14600;14658;14600;14600;14747;14685;14624;14617;14695;14716;14693;14654;14600;14658;14744;14610;14600;14658;14658;14600;14781;14600;14600;14606
14662;14719;14618;14600;14600;14606;14600;14600;14656;14688;14753;14744;14606;14606;14600;14679;14600;14744;14600;14600;14679;14693;14701;14643;14744;14618;14747;14636;14610;14600
14671;14683;14614;14675;14600;14600;14600;14606;14600;14744;14600;14600;14609;14627;14698;14646;14600;14600;14747;14600;14649;14609;14600;14600;14600;14781;14600;14600;14600;14600
14600;14600;14600;14679;14619;14725;14600;14600;14600;14744;14600;14747;14646;14600;14600;14600;14744;14600;14606;14618;14744;14606;14600;14600;14600;14600;14603;14607;14689;14655
14600;14600;14715;14632;14600;14600;14600;14618;14600;14600;14600;14600;14610;14744;14655;14679;14600;14600;14600;14600;14600;14600;14600;14600;14683;14661;14747;14600;14744;14600
14600;14600;14600;14600;14744;14600;14610;14743;14713;14658;14600;14600;14610;14600;14618;14610;14600;14606;14695;14649;14744;14606;14600;14600;14600;14600;14609;14646;14604;14606
14600;14600;14717;14627;14600;14600;14744;14600;14600;14600;14646;14600;14600;14600;14600;14600;14600;14679;14600;14610;14603;14603;14744;14606;14600;14747;14600;14600;14600;14600
14614;14641;14600;14600;14600;14610;14607;14672;14600;14600;14744;14600;14604;14606;14614;14730;14600;14600;14600;14600;14722;14625;14600;14610;14600;14606;14600;14744;14600;14600
14600;14600;14600;14600;14609;14609;14600;14600;14613;14611;14600;14625;14600;14610;14621;14614;14632;14653;14600;14655;14600;14747;14625;14747;14600;14600;14600;14610;14600;14600
14618;14607;14600;14600;14600;14600;14600;14600;14600;14600;14634;14710;14606;14600;14600;14600;14600;14600;14600;14600;14600;14600;14604;14606;14600;14600;14600;14679;14604;14740
