individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
108;119;83;51;46;85;121;14;94;43;112;107;115;78;94;61;108;16;67;56;1;97;57;12;45;63;42;14;82;16
97;107;45;83;80;113;68;68;64;95;61;108;39;69;108;112;16;45;85;107;45;45;51;97;88;62;85;121;54;104
78;80;46;78;86;64;69;112;101;28;76;64;22;88;68;65;99;93;109;111;61;64;65;76;113;16;94;115;80;107
78;68;107;94;112;115;78;80;80;76;107;22;85;76;94;107;61;80;79;77;107;88;112;112;113;94;112;115;78;76
90;108;82;83;79;91;76;76;76;78;68;85;76;112;80;80;78;78;52;48;22;22;91;99;84;79;84;101;68;94
85;85;68;68;78;22;83;76;76;112;91;79;80;81;80;81;82;79;76;76;76;74;82;83;77;77;78;112;22;112
81;22;68;22;80;68;74;31;79;79;82;68;82;77;85;68;85;68;82;81;82;22;80;74;79;80;77;68;80;82
80;77;80;79;22;80;79;80;80;70;80;68;68;79;68;68;78;80;78;79;79;80;80;79;70;78;79;80;69;79
80;68;82;82;80;79;80;81;81;78;79;78;81;79;77;77;80;70;80;81;81;81;80;81;68;81;79;80;79;80
81;81;68;80;80;79;77;72;81;82;81;81;80;80;81;81;80;82;77;80;77;80;72;77;77;79;80;80;80;81
79;74;81;81;73;75;72;73;82;82;77;80;80;77;80;80;81;81;80;80;79;78;80;79;80;80;80;80;74;74
80;80;80;77;80;80;80;79;80;80;80;80;80;82;80;80;68;80;80;80;80;82;80;81;81;80;80;82;80;80
80;80;80;80;80;79;80;80;81;80;79;78;77;80;80;79;82;80;81;81;80;81;80;80;81;77;81;80;80;80
80;77;80;80;80;80;80;80;80;80;78;78;81;80;80;80;82;81;80;81;80;80;80;80;81;82;80;80;81;80
80;80;81;80;80;82;80;80;80;81;80;81;80;80;80;77;81;80;81;80;80;80;80;80;80;80;80;80;80;80
82;80;80;80;80;80;80;81;81;80;81;82;81;80;80;80;80;80;80;77;80;80;77;80;81;80;80;80;82;82
81;80;80;80;82;82;80;81;80;80;80;80;81;81;82;80;80;82;82;80;80;80;81;81;79;80;80;80;80;80
80;80;80;81;81;81;80;80;80;80;80;80;80;80;80;80;80;80;81;81;80;80;80;80;81;80;80;80;80;80
80;80;80;80;80;80;80;80;80;80;81;81;80;80;80;80;80;81;80;82;80;81;80;81;82;82;80;80;80;80
81;82;80;80;81;80;80;81;80;80;80;80;81;81;80;81;80;82;80;81;80;80;81;80;80;81;81;80;80;80
80;80;82;81;80;80;81;81;80;80;80;80;80;80;80;80;80;80;80;80;79;80;80;80;80;82;82;80;80;80
80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;82;80;81;81;80;80;80;80;80;80;81;81
81;80;80;80;81;80;80;80;80;81;80;82;80;81;80;80;80;80;80;82;80;80;80;81;80;80;80;80;80;81
81;81;81;81;80;80;82;80;80;81;81;80;80;80;80;81;80;80;80;80;80;80;80;80;81;80;81;81;80;81
80;80;80;80;80;80;80;82;82;80;80;80;80;80;82;80;80;80;80;80;80;80;81;81;81;80;81;80;80;80
81;81;81;80;80;80;81;80;80;80;81;80;81;80;80;80;80;80;80;80;80;82;80;80;81;81;81;81;81;81
80;81;80;82;80;80;80;80;81;80;80;80;80;80;80;81;80;81;80;80;81;82;80;80;80;80;81;80;82;82
80;80;80;80;98;82;80;80;82;80;81;82;80;80;80;82;80;80;81;81;81;81;82;82;82;80;80;80;80;80
82;80;80;80;80;81;81;80;80;80;81;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;80;81;80;80
81;81;81;80;81;80;80;80;80;80;80;80;80;80;80;81;81;80;81;81;82;81;81;80;81;80;82;82;80;81
80;80;80;80;81;81;81;80;82;82;82;80;81;80;80;80;82;80;80;81;80;82;82;81;80;80;80;80;80;80
80;80;80;81;82;80;81;80;80;80;80;81;80;80;82;80;80;80;80;80;80;80;80;80;82;80;80;80;80;80
80;81;81;80;80;80;81;80;80;80;81;80;80;81;80;80;80;80;80;80;80;81;80;80;82;80;81;80;80;82
81;80;80;80;80;80;80;80;81;80;80;81;80;80;80;80;82;80;81;80;80;80;80;80;80;80;81;80;81;81
80;80;80;80;81;80;81;80;80;81;80;80;82;80;80;80;80;80;80;80;80;80;80;80;80;81;80;80;80;80
80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;82;80;80;80;80;80;80;80;80;80;81
80;80;81;80;81;81;80;80;80;80;81;81;80;80;80;82;80;80;80;81;80;80;80;80;80;80;80;80;80;80
80;80;80;80;81;81;80;80;80;80;81;80;80;80;81;80;80;80;80;80;80;80;81;80;80;80;80;80;80;80
80;80;80;80;81;80;80;80;81;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;81;81;81
80;80;81;81;81;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;81;80;81;81;81;82;82;81;80;80
80;80;80;80;80;81;80;80;80;80;80;81;80;80;81;80;80;80;80;80;80;80;80;80;80;80;81;80;80;80
80;80;81;80;80;80;80;82;80;80;80;80;80;80;80;80;80;80;80;80;81;81;80;81;80;80;80;80;80;81
80;80;80;80;81;81;80;80;80;80;81;80;80;80;80;80;80;80;80;82;80;80;80;80;82;80;80;81;80;80
80;81;80;80;80;81;80;80;80;80;80;80;80;80;80;80;80;80;81;81;80;80;80;80;81;80;80;80;80;80
80;81;80;80;80;80;81;81;80;80;80;80;80;80;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;80
80;80;80;82;80;81;81;80;80;80;80;81;80;80;81;80;80;80;80;80;80;80;80;80;82;80;80;80;80;80
80;80;81;80;80;80;80;80;80;80;81;80;80;80;80;80;80;80;81;80;81;80;81;80;80;80;80;80;81;80
80;80;81;80;80;81;80;80;81;80;80;80;81;80;80;81;81;80;80;81;80;80;80;80;80;80;80;81;81;80
81;80;80;80;80;80;80;80;80;82;80;80;81;80;80;81;80;80;80;80;81;80;81;80;80;80;80;80;80;80
80;80;80;80;80;82;80;80;80;80;80;80;81;81;80;80;80;82;82;80;80;80;80;80;80;80;80;80;81;80
81;80;80;81;81;80;80;80;80;80;80;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;81;80;80;81
80;80;81;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80
81;81;80;80;81;80;81;81;80;80;80;81;80;80;80;80;81;80;81;81;80;80;80;80;80;81;80;80;80;80
80;81;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80;82;80;80;80;80;80;81;80;80;80;80;80;80
80;80;80;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;81;80;80;80;80;80;80;82;80;80;80;80
80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;81;80;80;80;80;81;80;80;80;80;81
80;81;80;80;81;80;80;81;81;80;80;80;80;80;80;80;80;80;81;80;80;80;80;81;80;80;80;80;80;80
81;80;80;80;80;80;80;81;81;80;82;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80;80;81;80
80;81;81;80;80;80;80;80;80;80;80;81;80;82;80;80;80;80;80;80;82;80;80;80;82;80;80;80;81;81
80;80;80;80;81;80;80;81;80;80;80;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80
80;80;80;80;81;80;81;80;81;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80
80;80;80;81;81;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80
80;80;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80
80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;81;81;80;81;80;80;80;80;80
80;80;80;80;81;80;80;80;80;80;81;81;80;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80;80
80;80;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;80;80;80;80;80;80;80;80;81;80;80;81;80
80;80;80;81;80;80;80;80;80;81;80;80;81;81;81;80;80;81;80;81;80;80;80;80;80;80;80;80;80;80
80;80;80;80;80;80;80;80;80;81;80;80;80;80;80;80;81;80;80;80;81;80;80;81;80;80;80;80;80;80
80;80;81;80;80;80;80;80;80;80;80;80;81;81;80;80;80;80;80;80;80;82;80;80;80;80;80;80;80;80
80;80;80;80;80;80;81;80;80;81;80;80;80;80;80;80;80;80;81;81;81;80;80;80;80;80;80;80;80;80
