individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
2,600001;2,150001;2,000001;2,450001;3,500001;5,749999;2,000001;2,150001;5;2,900002;3,050001;3,950003;3,800001;7,399998;2,150001;3,200002;2,150001;2,300001;2,000001;2,150001;2,000001;3,050002;2,000001;2,000001;2,450001;2,150001;2,300001;2,000001;2,000001;3,650002
2,299999;2,6;2,15;2;5,15;4,4;2,6;2,45;2,899999;2;2,299999;2,299999;2,15;2,899999;2,749999;3,65;2,15;2,15;2,599999;2,45;2;2;2,45;2,3;2,599999;2,599999;3,049999;2;2,15;3,8
2,45;4,549998;3,649999;5,749999;2;2,75;3,049999;5,149998;2;2,9;3,949999;2;5,75;3,949999;3,2;2,15;2,15;3,649999;2,75;2,299999;2,3;2,45;2;4,999998;2,75;2,3;3,649999;3,349999;3,499999;3,349999
3,499999;4,399999;4,4;4,249999;2,75;3,349999;5,6;4,249999;4,549999;5,299999;2;3,349999;5,449999;2,45;2,899999;2;3,049999;2,3;3,649998;2,3;2;3,649999;4,549999;2,75;3,799999;4,549999;2,9;3,349999;3,799999;4,699999
2,45;2,6;10,25;6,65;2;3,5;3,349999;4,7;3,649999;2,75;3,349999;3,649999;5,15;2,3;6,500001;3,5;3,05;6,35;4,699999;3,949999;4,4;6,949999;4,25;3,949999;4,4;8,449996;2,15;3,799999;9,650002;2,3
2,749999;2,15;5,449998;9,499996;5,449998;6,349997;3,799998;2,45;2,749999;4,249999;4,099999;5,749997;11,74999;12,04999;9,049995;4,399999;5,449998;3,949999;2,599999;4,999999;4,249999;6,499997;7,999996;4,999999;4,249999;6,949996;2,299999;4,699999;7,849998;4,4
12,95001;7,699999;4,25;3,2;5,9;6,8;2,449999;2,15;3,8;2,749999;7,25;7,1;5,45;9,049994;3,499999;7,099999;5;6,199999;2,9;7,699999;2,449999;5;6,2;4,1;5,150001;8,599998;6,05;4,550001;3,95;4,25
5,900004;5,600005;9,050013;8,45001;6,200004;6,350004;7,550007;3,950001;15,65002;5,900004;10,70002;3,350001;4,700003;5,000004;8,300011;6,200003;5,150004;6,350005;5,150004;8,600011;4,700003;9,200011;8,150009;7,100007;8,300012;5,300005;8,45001;12,05001;4,550002;9,200012
6,349999;8,900001;10,55;10,1;5,150001;2,599999;6,5;6,35;2,599999;4,7;5,600001;2,599999;7,4;6,35;6,199999;13,24999;6,8;5,75;5;8,9;2,599999;5,300001;8,900001;10,85;8,150002;5,9;5,600001;6,049999;8,900001;8,000002
3,349999;7,549995;7,849995;6,199996;11,15;5,149999;12,64999;2,75;7,549996;6,349997;14,29998;3,199999;6,499995;7,699995;7,549996;8,749994;13,84999;4,999998;4,699998;6,949996;5,299998;26,6;9,499993;4,699998;8,899994;4,849998;11,3;2,599999;4,999998;2,15
6,649997;6,949997;9,949999;9,050002;7,999999;3,65;7,399998;5,299999;11,3;5,749999;5,299998;6,649997;7,999999;4,4;11,15;8,450001;8,300002;7,699999;7,549998;3,949999;14,90001;9,95;6,199999;4,849998;5,599998;11,6;4,4;17,45;7,699999;3,05
13,54999;7,549998;6,649999;6,05;5,75;3,199999;3,199999;9,95;8,45;10,1;6,5;21,5;12,35;7,249997;9,500002;5,449999;7,099998;6,199998;6,199998;12,35;11,15;20,75;6,949998;2,6;2;6,949998;6,949998;3,349999;6,349998;9,95
3,35;3,650001;8,300005;3,800001;12,35001;6,950003;9,050008;9,950006;8,900006;3,950001;8,150005;5,000001;8,600005;12,80001;9,950007;9,050008;3,5;13,70001;16,40002;10,40001;6,650002;13,70001;10,70001;7,700005;5,900003;3,65;11,45001;10,40001;10,25001;18,50002
4,549998;6,499998;3,649999;11,59999;9,800002;8,45;12,34999;6,949999;2,299999;3,199998;11;12,2;5,299999;2,749999;8;3,649999;9,95;8,750001;4,099998;5,149998;7,999999;4,099999;6,949999;9,05;6,799998;7,699999;11,15;9,950001;1,999999;5,449998
17,6;6,649998;8,15;9,799995;7,25;18,35;6,349998;4,849999;10,69999;11,14999;6,349999;5,749999;6,049999;6,349999;12,19999;5,449999;15,95;7,850001;10,99999;20,3;8,450001;19,25001;4,4;16,7;18,2;6,649998;8,299999;16,4;9,499996;8,299999
11,75;9,799996;9,049996;6,799997;11,9;9,349996;6,199998;7,099998;3,799999;9,199995;9,499996;14,3;9,499996;7,099998;6,949997;7,549996;7,099998;9,499996;6,799997;12,05;10,25;7,699996;6,049997;3,65;12,35;5,449996;10,55;10,25;5,749997;8,449996
6,349997;8,449999;8,149999;9,799995;8,599999;6,049998;13,4;15,65;4,999998;13,99999;15,35;28,99998;3,949999;3,949999;6,949998;7,099998;3,949999;15,2;6,649998;9,949994;7,099998;9,649995;13,4;3,799999;6,649998;25,09998;10,55;6,949997;8,599999;10,7
12,64999;6,499999;14,3;5,449999;12,79999;7,099998;5,599999;7,249999;13,55;6,499999;24,65002;13,55;6,049998;17,15001;8,899995;11,6;9,649995;6,649998;11,59999;16,1;8,899995;8,449999;4,849999;11,15;4,399999;6,949998;3,799999;9,199995;3,799999;8,599998
6,650002;10,55;10,4;10,1;14,75;11,15;4,400002;13,85;10,25;14,15;10,25;10,55;9,349998;9,049998;4,400002;6,500003;5,150002;27,79998;4,400002;2,75;11,15;9,199999;3,200001;4,850003;2;7,700002;17,75;6,050002;7,850003;8,599999
4,55;5,75;7,100001;10,7;8,749997;10,55;8,749997;8,599998;8,149999;9,649993;5,9;5,15;7,400001;9,349995;5,150001;2,900001;6,95;11,89999;8,749996;11,14999;15,94999;2,600001;12,34999;4,1;9,799994;10,54999;8;5,6;5,300001;3,95
16,25;10,25;8,450003;2;4,700001;3,350001;5,300001;11,3;9,950001;4,550001;10,7;19,54998;14,45;10,85;11,75;14;6,050001;13,25;11,6;23,00001;12,35;3,800001;9,65;2,3;9,950001;7,100001;6,950001;9,050002;9,050001;25,40001
14,45001;6,65;8,750001;3,2;14,45001;9,500001;7,1;13,10001;12,65001;8,3;17,45;7,7;8,6;9,200002;6,35;19,7;18,65001;5,9;6,95;9,050002;13,40001;9,050002;14,15001;7,4;8,3;15,35001;2,75;6,65;2,6;15,95001
