individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
4;5;2;5;1;1;5;5;2;3;1;1;4;5;3;4;5;1;5;4;1;2;1;2;1;3;3;4;2;1;2;4;5;1;4;5;4;4;4;1;5;1;1;3;1;5;2;3;3;5;2;5;4;5;1;4;2;5;5;3;1;4;4;1;5;4;5;2;2;1;2;3;5;4;1;2;1;2;2;5;2;1;5;3;5;2;4;4;5;2;1;5;5;4;4;5;3;5;4;3
4;3;5;5;4;4;5;2;4;4;1;2;5;5;2;5;3;2;4;4;5;1;2;3;3;4;4;1;4;5;3;2;4;4;5;5;5;3;3;4;1;1;3;3;3;2;3;3;5;4;2;5;4;4;5;5;4;5;1;5;5;1;2;1;4;4;2;1;5;4;2;2;5;4;3;5;1;1;5;4;2;1;4;5;4;5;2;2;4;2;5;1;5;4;5;5;4;1;3;2
5;4;2;2;5;3;5;1;1;4;4;5;5;5;5;1;5;5;4;4;4;4;5;2;2;3;1;1;5;5;4;3;1;5;1;1;1;4;1;1;2;2;5;5;4;1;4;5;2;4;4;4;3;1;4;4;2;4;5;4;3;2;4;5;2;2;4;5;4;2;4;4;2;4;4;3;5;4;4;4;2;3;5;5;4;2;2;3;2;3;5;5;1;1;5;5;4;3;1;5
5;4;5;2;5;4;4;5;3;5;5;5;5;5;2;2;4;2;5;3;2;5;4;4;5;1;5;3;2;5;4;3;5;1;4;3;4;3;4;4;4;4;4;5;3;2;4;5;1;1;4;3;5;5;4;4;1;1;3;2;4;5;5;4;5;4;5;5;4;5;5;2;1;5;1;1;5;5;2;1;3;1;1;1;4;5;1;5;3;4;2;4;5;1;3;4;4;4;5;5
5;4;5;5;4;4;2;5;4;2;4;4;4;4;2;1;4;5;5;4;1;1;4;2;2;4;3;4;3;2;1;5;2;3;5;1;3;4;3;4;2;3;3;2;2;2;5;4;5;4;4;4;5;4;4;5;5;4;2;4;5;4;5;1;4;4;4;5;4;5;4;5;1;4;2;5;3;3;2;4;3;5;5;5;4;4;4;5;2;3;5;4;5;5;4;4;4;4;4;1
4;3;5;5;5;2;5;2;5;1;2;4;4;4;4;4;4;5;4;5;2;5;4;5;5;5;4;2;5;5;4;3;3;4;4;5;3;4;4;4;5;3;4;3;4;3;1;4;4;4;2;5;2;4;2;2;5;1;5;5;5;4;5;5;3;2;4;5;3;4;2;3;5;5;2;2;4;4;4;4;4;5;4;4;4;4;5;4;4;5;4;3;4;5;5;4;5;4;5;4
5;5;2;4;4;5;2;4;5;5;2;5;5;5;1;4;4;4;4;4;4;1;4;1;5;1;4;5;4;5;5;5;5;1;5;3;5;4;4;4;3;5;5;4;3;5;1;1;5;5;1;5;4;4;5;5;3;2;3;2;4;1;3;1;4;1;4;2;1;4;4;4;5;5;4;4;5;5;3;4;4;4;4;5;5;4;3;3;5;2;5;4;5;5;5;4;5;5;5;4
5;5;2;4;4;5;5;2;2;5;4;4;5;5;4;5;4;4;3;3;4;2;5;5;3;3;3;5;1;3;2;4;3;4;5;5;4;1;5;4;4;5;5;5;5;5;1;2;5;5;5;4;5;5;5;3;2;1;5;4;4;4;4;5;4;4;3;3;4;5;3;4;5;4;1;5;4;4;4;4;2;3;4;4;5;5;3;3;5;4;4;3;5;1;5;4;4;2;3;3
5;5;4;5;4;3;5;2;5;5;5;2;2;5;4;4;5;5;1;3;2;3;1;2;4;2;2;4;1;4;4;2;5;3;5;5;1;5;3;2;4;5;3;4;4;4;2;2;5;4;2;3;1;5;2;3;5;3;4;2;5;2;4;2;4;4;4;5;5;4;3;5;4;5;5;4;4;3;5;5;4;4;4;1;5;5;3;4;4;5;5;5;4;3;5;5;2;2;4;3
2;3;4;5;3;4;4;5;2;5;5;4;5;5;2;4;4;4;5;4;4;4;4;4;2;5;5;2;4;2;5;4;5;4;4;5;2;2;5;4;5;5;3;4;5;4;5;5;3;2;5;5;5;4;3;4;4;5;4;4;5;4;4;4;5;5;3;4;5;5;4;5;5;4;4;4;5;4;4;5;5;5;2;2;2;5;2;5;5;4;3;3;4;4;5;1;5;1;4;4
