individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
11,5;10;10;39,49998;14,87257;10;10;17,5;10;11,5;11,5;55,99998;10;10;11,5;13;11,5;10;14,5;11,5;10;11,5;16;10;11,5;10;28,87777;12,49258;17,5;9,631009;11,5;13;21,5;11,27716;14,5;11,5;11,5;16;4,170352;13;10;7,435561;10;10;13;11,5;10;16;10;11,5;10;16,5;18;10;10;10;13;8,449139;13;11,5;11,5;18;10;11,5;48,50002;13;19,44244;11,5;11,5;11,5;10;11,27716;7,119524;31,5;22;10;16;11,5;11,5;11,5;10;10;10;18,49999;71,49996;10;11,5;9,532787;11,5;10;14,5;10;11,5;13;27,00002;45,50003;20,5;10;10;10
13;9,999997;9,999997;11,5;9,999997;9,999997;11,5;11,5;11,5;11,5;9,999997;11,5;11,5;9,999997;9,999997;18;11,5;23,39527;14,5;9,999997;11,5;16;9,999997;9,999997;9,999997;9,999997;11,5;9,999997;33,99999;13;16;11,5;80,49995;14,5;15,62841;9,999997;17,5;13;14,5;11,5;13;16;9,999997;9,999997;9,999997;13;9,999997;9,999997;9,999997;9,999997;17,5;11,5;9,999997;17,5;9,999997;9,999997;41,99998;16;9,999997;25,00001;9,999997;9,387482;11,5;9,999997;13;9,999997;14,5;14,5;24;28,5;9,999997;7,407468;11,5;9,999997;14,5;13;13,6346;16,5;11,5;11,5;13;9,999997;13;21,15463;34,99999;20,99999;16,5;16;11,5;11,5;11,5;9,999997;22,5;9,999997;11,5;13;11,5;9,999997;20,99999;9,999997
9,999999;14,5;20,5;16,66889;42,49995;37,5;28;14,5;18,8116;13;54,49998;14,5;8,180634;37;11,5;9,999999;13;9,999999;8,471869;3,448363;13;11,5;17,5;9,999999;11,5;20,65662;19;13;3,330302;11,5;16;13;9,999999;27,11219;29,83333;5,213379;24,8088;24,50001;11,5;11,5;11,5;9,999999;11,5;9,999999;13;16;13;13;17,5;11,5;16;17,5;5,213379;11,5;11,5;11,5;11,5;13;22,29977;13;11,5;22,5;6,378119;10,80956;13;25;22,5;9,999999;29,49999;13;10,62936;25;42,99995;15,44008;9,999999;9,999999;17,5;26;24,00001;13;25;11,5;4,43169;11,5;9,999999;13;23,5;17,50001;14,5;11,87222;11,5;59,99999;12,59283;19;5,62293;20,5;56,49998;14,5;11,5;14,5
11,4649;10,20937;13;21;10;26,49999;10;11,5;11,4649;10,02686;11,5;11,5;5,75909;5,649285;10;13;29,5;6,639598;11,5;4,979785;18,48792;26,99999;16;14,5;6,016507;49,49994;9,286489;10;17,5;10;17,19359;11,30476;19;17,5;29,00001;13;17,5;19;13;16,65294;14,939;20,49999;43,60474;13,42213;10;26,49999;22;29,50001;12,43559;11,5;18;21,92947;17,5;11,5;22;29,5;10;11,5;32,99999;13;14,5;78,00008;8,517965;16;13;14,5;16,01366;11,38373;14,5;2,988622;10;18;9,594499;9,073219;19;18,49999;5,414608;16;10;17,5;14,5;8,093088;10;13;15,75;11,5;46,99999;29,50001;67,50002;23,49999;25,99999;26,49999;14,5;14,5;14,5;34;20,99999;14,5;36,99999;13
5,091356;16,5;20,5;26,50002;14,5;12,9872;13;42,5;9,373755;11,5;12,62814;36;28,50002;14,41812;12,05791;29,00002;11,5;22,50001;9,999999;13;10,42463;16;23,50001;38,5;12,99999;14;8,983459;14,5;13,24063;11,5;16;41,50001;14,5;9,999999;17,5;5,091356;19;11,4209;11,5;16;9,373755;29,50002;7,564126;36,5;7,112821;13,05132;18,83395;8,29053;12,99999;12,5;15,56668;22,50001;36,99999;14,5;7,355186;19,07334;29,50002;19,5;37,74999;15,5;11,5;28,00002;22,50001;11,5;25,50001;3,92937;39,99999;6,462798;11,5;12,99999;12,05791;11,5;22,50001;12,99999;21,79826;13;9,999999;20,5;19,5;17,5;15,66649;13,30739;27,34089;9,999999;14,25457;21,00001;65,50002;19;44,50001;19,5;35,49999;24,00001;11,5;17,5;25,50002;12,99999;12,99999;27,00002;9,999999;9,373755
11,5;21,99999;11,16811;10;13;30,99997;13;5,547127;19,5;29,3057;33,99998;14,2252;30,49997;28,49997;16,5;13,97954;22,49998;13;11,5;5,035549;11,5;12,51558;3,780551;10;11,5;33,99998;18,10898;4,237892;14,50001;11,40999;10,12249;19,49999;32,24998;8,404202;11,69983;14,50001;6,668232;5,977585;11,5;14,12746;13,63925;11,5;16,99492;19;19;9,197989;23,99998;7,819752;12,63777;41,5;29,58086;14,50001;24,49998;10;26,49997;10;25,60829;7,452249;10,20598;10,12249;18,97512;44,50002;17,5;4,604426;16;54,00003;13;10,61839;21,99999;11,5;14,50001;13;14,50001;19,3243;5,239402;20,49999;11,89764;10,7751;23,99998;13;6,3663;11,33275;22,99998;13,00001;14,50001;12,51558;24,99998;11,5;14,02604;11,5;6,668232;11,5;26,60333;26,99997;19;13;39,99998;11,5;11,8305;4,463947
21,95041;14,11074;11,35208;10,78661;7,01781;17,5;20,5;29,5;19;11,5;16;18,56379;19;6,152964;22,5;30;10;11,5;6,920378;14,97356;17,5;19;4,708823;21,25;52;7,421457;25;2,469686;25;14,86798;16,5;27,99999;6,920378;14,5;39,00004;44,50003;45,50004;14,5;34,5;22,40604;7,612469;16;37,50003;19,5;13;51,50002;24,46134;23,3032;24;11,5;9,53005;18,88424;5,72299;14,5;5,240303;2,24064;21,16667;11,5;13;19;16,43545;14,5;25,43306;25;26,5;21;13,60104;36,50003;9,321755;13;14,51493;10;29,49999;20,4399;25;21;42,50005;17,5;16;11,88673;9,216825;20,12838;13;35,50001;25,49999;11,5;11,35208;16;39,00004;7,326938;8,989635;17,5;23,26579;12,41997;11,5;10,40192;20,85661;7,612469;35,50001;25,5
13;10,38356;7,14219;11,5;14,49999;20,07019;17,49999;9,269136;6,185666;6,185666;14,49999;5,002125;16,86307;9,999999;7,02073;4,236181;9,999999;41,49995;19;24,99999;11,5;38,99996;33,83333;16;28,49999;13;16,49999;14,49999;14,49999;35,99996;6,444929;30,19188;12,51767;9,675195;4,563748;22,18187;11,01783;11,10725;33,99999;9,999999;7,14219;15,15702;11,5;14,49999;14,49999;17,36854;14,49999;24,53494;19,91938;17,49999;8,693341;13;7,952656;38,99997;20,2939;37,11283;35,9575;11,5;7,56038;6,185666;32,99999;20,5;15,99999;22;20,5;25,90138;17,99999;11,5;18,99999;31,49999;17,49999;14,49999;22,08293;12,78546;13,5991;7,358134;18,99999;15,99999;11,51239;26,99999;22,33348;23,5;33,66666;13;67,99994;5,002125;6,007084;25,49998;11,27037;58,49994;3,613592;12,51767;28,49999;18,99999;21;8,597225;26,49999;6,88444;19,20933;43,49991
17,5;11,5;3,994942;7,416614;6,37565;19;13;14,5;21;13;11,5;32,00001;13;38;21;27;13;28,5;9,317923;19,5;5,005889;29;19;22;20,58208;19;16;13;9,999999;3,555124;18,50462;15,14597;14,5;13,54718;5,643041;25,50001;14,5;42,99998;18;8,463565;13;6,867659;14,5;14,68912;11,5;13;11,5;38,99998;13;5,112196;16,78512;9,999999;6,67582;12,80072;17,5;17,5;18,5;23,78884;13;23,5;34,5;20,5;10,73748;52,99996;16;16,19483;17,8033;20,18965;14;19,5;9,958774;25,08875;13;12,73128;9,999999;15,64036;4,222175;7,076844;26,50001;9,958774;27,99999;12,95043;28,25;16;11,06854;9,958774;13;9,679126;9,999999;11,5;45;5,888182;18;5,530633;22;34;6,475779;19;18;25,00001
28,87825;18,00818;17,5;22;41,50001;16;12,83389;32,66813;14,66999;43,00003;28,49999;5,796514;27;60,00002;12,68675;10;40,5;10;13;14,82266;13,25647;10,99436;19,95552;11,5;23,49999;17,5;10,91225;13;63,99999;7,737003;7,438917;14,5;24,99999;14,5;13,25647;13,67023;16,5;14,5;8,233788;10;11,5;10,83417;20,5;10;31,49999;16;18,30786;28,99999;8,348222;16;11,3873;25,50762;13;6,691257;26,5;13;8,124759;17,5;23,66565;7,175944;14,13223;13,78798;41;18,99999;46,00003;17,5;11,5;9,882878;7,883909;16,5;26,49999;14,66999;35;6,391027;10;21,29891;13;18,12554;8,233788;7,883909;7,602717;19,7535;14,5;39,83334;14,30021;16;26,5;57,00003;16;3,389837;11,5;18,88897;13;11,64491;9,088973;15;27,99999;11,86722;39,5;10
