Best;Top3;Top5;Top10;Population
71,49996;58,66665;52,2;39,18777;14,53078
80,49995;52,49997;43,99998;33,60498;14,27608
59,99999;56,99998;51,29997;41,83332;16,78826
78,00008;65,00002;57,12095;44,86048;17,67297
65,50002;50,83334;46,8;41,975;18,3388
54,00003;46,66668;42,8;37,13308;16,39564
52;49,66669;47,20003;42,35003;18,95238
67,99994;56,6666;50,09994;43,25699;18,23112
52,99996;46,99998;43,59998;37,59999;16,82176
63,99999;60,33334;54,00002;47,23335;18,65522
61,50002;55,83332;52,4;45,65001;17,36311
67,50001;59,83332;53,99997;44,67195;18,39212
62,00003;59,50002;57,56668;49,55;18,19287
84,00005;68,16669;59,7;50,10707;18,32244
50,25001;49,75002;46,81667;41,58892;19,241
67,83337;62,77777;58,86665;49,73332;18,742
69,99999;60,66663;55,59996;47,16663;18,76202
68,50005;61,77784;55,56672;47,5089;18,77001
87,00008;62,00006;53,80005;45,50793;18,04629
66,00005;57,08334;51,48774;44,57845;17,51134
73,50012;68,16673;64,53339;54,44122;19,57346
66;56,55554;54,26664;48,4889;18,67685
79,74981;65,24991;58,84994;51,92495;18,93227
53,1667;51,38892;48,70464;43,74399;18,65946
64,0001;58,16674;53,90007;46,77506;18,29638
75,50018;65,36806;57,42084;49,41047;19,41503
68,86887;61,37287;54,63322;46,31175;18,95977
66,00007;62,16673;56,82534;47,45341;18,52097
84,50013;63,00006;57,2667;49,72873;19,20632
65,50002;57,16666;53,29998;47,05206;18,83629
63,99993;59,33329;56,69996;50,76665;18,10692
119,6667;81,0556;67,93337;54,47221;19,29573
64,99995;56,59222;54,45533;46,15036;17,88558
67,50008;62,16669;59,66669;50,52995;18,27672
70,49979;56,99992;51,39632;45,28171;18,64829
71,16674;58,38891;54,73335;49,79168;19,71221
87,99998;73,83331;65,99998;54,37128;19,36205
61,16667;53,88888;50,89999;45,23544;18,64441
53,49997;49,83331;47,69997;42,9833;18,63261
74,50006;66,33337;59,65777;50,54563;18,08383
61,24997;60,08331;58,0333;52,11885;18,67307
55,00003;54,00004;51,50003;45,44168;18,15878
59,50005;58,33337;54,03336;48,10109;19,46193
64,99992;61,61106;58,46662;49,87056;18,27678
80,49992;67,11899;62,43804;52,08559;18,20479
66,00001;60,83335;56,10001;47,35001;17,90795
72,50004;62,11117;55,56672;47,82824;18,77713
63,49997;56,16664;52,99998;48,39999;19,19442
71,49998;64,83334;58,15001;49,82088;19,13086
92,49998;78,16663;69,29147;56,84626;19,29314
66,99995;62,16665;56,60003;48,86513;18,61685
62,99996;57,16666;52,69999;46,54998;18,92093
67,00005;59,58338;56,20004;49,83321;18,45548
72,25013;67,36123;60,91677;50,0584;18,02406
86,99998;72,66663;64,89998;54,14992;19,80867
71,50001;62,25005;56,50004;48,95836;18,16504
56,58328;52,02774;50,11663;45,99164;19,09229
83,99997;72,66665;64,49999;52,91563;18,08353
71,50012;65,33346;60,10011;50,52289;19,00814
78,49989;62,77773;55,80592;46,84023;17,98403
64,99999;58,16668;52,59999;45,96666;18,02258
60,99993;58,99994;55,29993;47,3204;19,14636
84,99992;73,49995;70,36662;56,18331;19,48451
75,50001;70,75001;65,35;54,35801;18,9897
73,50011;65,25008;58,35008;50,29172;18,77555
67,00014;63,83342;56,95901;47,9541;17,58123
95,50021;64,91676;57,15006;47,72504;19,05326
67,99987;59,67663;54,05597;45,76675;18,49662
69,00004;63,66666;57,79998;50,59998;19,00821
51;49,33332;47,59999;44,2333;18,48432
77,27261;66,25751;59,65449;50,13659;18,38693
68,50005;62,83335;58,43349;50,62743;18,70799
76,99993;67,38876;60,30022;48,85357;18,29623
57,50002;52,16668;49,50002;45,40478;17,83167
86,00022;69,0001;64,87645;55,53707;19,92893
71,9999;65,55552;62,66664;55,29049;18,3525
68,66692;65,02791;62,61677;54,99255;18,18902
91,74982;66,33326;59,29995;50,57496;17,7541
102,8331;77,55544;66,53324;53,7348;19,45684
69,49996;60,49999;54,7;48,63335;18,45608
78,75007;64,47226;58,87788;50,76365;18,24038
69,16679;61,05566;55,43341;47,156;18,26224
58,49994;56,16662;53,89996;47,14302;18,80824
92,00011;73,11116;65,66673;53,28018;19,78429
70,49987;65,49989;61,72733;51,73774;18,33479
78,74994;70,86112;62,86668;51,36702;17,55518
69,01644;59,83883;55,7298;47,86491;18,05525
63,99997;62,74997;55,94996;47,9234;18,26677
67,83331;59,77777;56,36664;48,24861;17,6658
95,99993;78,24995;66,62553;51,51401;18,34867
71,74996;64,1944;60,41662;51,98669;18,40731
66,50002;61,50003;57,60003;48,77504;17,84933
71,00007;63,16669;56,80004;47,65198;18,7286
69,50012;58,04542;51,72726;42,77735;16,79321
61;56,83333;53,60001;46,64255;18,63309
58,49996;56,08331;52,74998;47,60131;18,88601
93,66665;78,7222;69,03334;58,5167;18,90802
69,50002;64,50001;60,56428;52,03214;18,97399
73,83331;69,83332;63,75712;53,92855;17,36915
63,00005;59,58335;56,13647;46,46303;18,4018
75,58333;68,86111;62,11667;53,80833;19,91989
71,50009;65,83334;64,12499;52,40689;18,1595
69,33332;66,11115;62,46673;53,96254;19,19385
88,74962;81,58311;72,73319;58,81659;18,5637
71,00005;64,00003;58,70002;49,63022;18,10698
66,58338;62,94449;60,96672;54,2204;19,6445
66,50008;62,83341;55,60006;44,60458;17,33955
