individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
20;24;4;18;27;80;20;100;24;23;87;25;60;69;100;28;82;40;49;53;77;73;92;88;87;37;72;13;62;87;61;68;64;96;67;40;51;40;96;68;61;43;17;97;64;0;88;89;7;67;43;71;50;4;51;14;63;32;7;40;24;9;96;52;33;62;18;32;24;70;4;25;69;35;64;91;61;69;57;52;9;54;62;85;47;15;26;96;26;76;79;25;26;47;26;54;43;96;6;83
32;81;62;62;27;26;54;60;96;96;38;22;35;92;34;55;28;49;89;40;71;96;68;23;35;60;28;32;59;45;32;69;28;96;39;30;54;37;92;24;35;40;43;53;67;40;27;62;87;96;88;92;54;27;35;89;52;87;37;69;25;0;72;0;53;56;73;100;18;96;69;61;61;87;69;61;96;73;96;43;40;67;100;60;4;72;91;93;40;37;56;56;64;69;40;49;24;61;42;46
28;53;32;47;41;40;7;96;87;77;29;58;73;25;64;53;61;79;57;7;42;43;9;52;25;10;96;20;52;35;14;14;9;38;26;76;96;67;52;44;52;52;69;63;54;52;68;57;54;35;79;64;60;42;81;74;96;67;35;96;26;0;52;44;59;70;51;73;12;14;57;59;47;40;87;61;33;4;26;24;48;61;23;11;64;25;48;42;19;25;25;96;81;50;34;52;47;35;62;61
66;43;25;59;61;54;58;57;4;58;69;96;61;40;51;44;69;85;72;88;37;6;49;43;25;18;43;14;51;43;4;61;64;47;54;58;17;96;13;41;43;4;40;43;37;38;18;88;35;82;26;47;35;6;39;43;26;64;60;25;54;67;88;61;91;88;42;71;35;54;86;50;47;28;67;25;79;78;63;79;54;43;14;26;50;26;75;63;21;25;64;64;96;63;60;28;61;38;71;87
25;14;58;4;71;85;17;4;14;71;35;49;60;39;73;67;28;61;44;57;52;23;65;83;62;64;57;58;36;73;51;47;44;91;67;54;39;51;26;37;53;82;60;73;69;21;38;48;35;41;54;67;61;59;70;42;77;74;39;45;61;54;4;18;49;58;37;87;64;51;43;54;18;18;17;27;64;96;51;63;51;64;80;72;58;58;49;57;80;67;72;80;85;73;32;36;35;64;40;26
64;47;45;47;52;51;52;23;64;43;64;40;69;70;57;78;65;66;54;56;61;85;96;40;36;35;51;83;44;40;73;51;81;79;96;26;17;14;34;28;87;61;48;51;23;40;73;73;38;52;57;73;66;64;52;44;54;64;4;57;87;14;54;49;52;47;91;54;60;48;53;49;35;35;44;60;35;26;18;60;59;95;44;40;36;46;18;24;42;60;88;90;93;47;35;47;14;74;41;65
64;96;68;36;69;36;45;63;57;72;87;36;44;46;27;49;55;58;52;54;35;96;69;66;52;51;74;54;48;23;63;44;39;49;39;64;91;40;73;57;73;69;51;44;44;62;54;59;44;61;54;91;55;39;54;43;61;47;62;91;59;76;43;40;60;80;59;60;51;26;85;51;80;44;23;73;49;57;61;73;54;55;87;38;43;37;65;64;73;96;57;59;87;73;18;35;33;42;91;26
49;59;40;69;31;88;77;38;57;58;91;73;59;65;89;64;60;66;54;44;46;62;38;93;96;91;60;44;35;42;69;78;57;46;43;48;87;35;18;18;74;40;40;75;37;37;51;57;40;59;53;61;51;38;67;87;43;81;83;38;92;61;70;62;20;71;59;64;87;61;87;26;54;85;82;52;35;54;61;38;26;17;47;63;43;39;37;54;44;44;23;91;63;69;51;54;74;54;54;57
47;25;44;64;64;71;47;48;18;51;52;47;35;38;60;58;61;59;81;84;96;60;83;73;45;44;67;72;42;74;55;56;52;35;54;54;54;69;28;35;56;87;47;60;48;39;19;52;35;35;45;52;68;67;44;48;26;44;67;96;51;64;51;73;96;59;35;67;87;39;52;18;44;87;77;74;35;51;40;44;42;57;64;63;35;85;96;51;50;80;89;89;51;45;51;69;53;52;38;54
96;64;60;73;74;52;47;49;64;82;57;36;45;53;57;55;35;35;87;59;45;88;57;54;65;59;59;48;62;90;58;36;54;69;57;49;75;79;58;74;83;44;35;52;64;47;38;51;83;38;69;51;35;28;35;74;68;63;62;46;54;52;62;59;59;39;47;73;69;64;64;35;39;40;55;70;55;58;47;52;96;91;64;54;92;91;86;93;55;60;38;35;47;61;21;37;87;82;43;56
54;59;72;72;69;55;54;54;36;59;52;91;62;54;49;63;74;91;57;37;81;54;26;66;73;39;40;91;43;71;52;88;54;54;59;74;54;56;64;47;59;44;64;54;54;96;44;74;62;64;66;66;40;54;96;51;52;53;35;61;37;51;59;59;36;46;67;71;40;49;29;35;61;76;92;28;60;62;59;62;68;54;52;54;61;56;55;56;73;44;52;62;42;43;35;37;60;83;18;74
69;72;32;90;59;35;51;54;87;74;63;84;69;62;69;58;42;60;44;62;60;26;69;81;56;57;68;68;73;54;70;66;66;44;66;79;82;74;88;54;60;64;70;66;38;96;54;73;89;71;87;51;54;54;68;51;91;35;59;54;54;33;35;69;62;73;40;58;38;87;64;61;55;50;74;74;54;60;56;63;74;86;49;61;54;73;35;87;59;75;82;78;92;82;44;18;73;81;73;51
