individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
6;35;82;58;53;48;13;61;73;51;12;52;79;68;98;55;5;100;83;73;45;85;56;10;94;5;31;6;88;43;35;80;25;85;10;10;21;0;1;84;19;48;5;40;70;50;40;81;6;31;92;3;32;44;83;38;23;25;96;50;72;12;91;72;25;29;43;37;2;65;90;9;13;39;27;17;33;55;44;23;80;80;18;56;45;15;47;37;11;20;0;75;6;25;71;70;70;12;88;48
52;10;30;26;42;22;19;73;12;1;79;50;47;48;85;56;67;71;94;87;3;37;83;60;42;24;14;19;82;98;68;25;55;1;70;6;53;25;56;73;95;44;13;20;9;22;53;88;13;36;40;56;71;62;39;81;40;64;54;19;68;57;42;39;81;87;91;92;68;75;13;19;35;94;35;68;85;85;47;38;14;27;69;71;45;68;94;40;5;10;21;19;65;60;87;96;35;35;5;21
49;67;44;26;92;79;96;47;12;45;11;33;78;82;70;73;72;30;44;96;37;60;80;23;11;80;28;69;64;47;38;38;80;79;71;20;32;15;71;65;20;31;27;64;19;72;84;44;19;39;0;65;70;74;27;17;12;10;39;37;6;50;25;25;80;67;84;22;5;12;23;70;45;10;43;33;25;90;6;72;65;70;11;10;23;13;30;28;62;53;75;47;12;39;75;19;25;39;23;28
20;58;81;76;25;29;70;19;50;88;68;37;35;0;83;25;78;66;30;11;22;71;49;82;52;68;55;53;21;92;44;33;27;26;35;21;37;5;6;45;92;90;23;25;27;57;68;40;39;5;11;45;42;85;52;66;17;19;76;78;17;12;15;14;69;81;8;14;39;80;10;47;53;47;50;33;77;43;80;40;79;82;100;50;80;10;45;33;9;8;23;23;88;40;79;55;32;66;34;39
8;100;21;44;48;52;43;38;100;34;39;49;51;38;22;50;55;35;77;42;32;53;80;66;35;21;83;23;17;68;80;72;25;17;35;10;70;21;56;76;13;24;76;25;78;9;34;51;55;80;29;10;24;24;59;33;43;22;23;25;83;27;68;44;63;60;22;12;22;26;92;19;68;68;33;40;32;32;45;22;22;22;11;23;50;16;79;29;21;14;16;18;66;22;44;27;54;50;5;5
23;26;66;62;41;67;45;40;10;23;65;5;29;66;67;40;22;23;49;65;60;41;8;9;17;54;22;66;73;45;21;22;46;16;37;11;50;93;70;53;28;19;32;72;53;23;22;22;51;60;64;46;83;22;29;28;19;65;38;29;12;100;12;47;32;26;17;29;27;34;37;48;39;39;31;45;28;37;68;51;55;42;5;25;72;39;66;89;22;70;12;17;29;33;55;26;33;89;58;61
30;30;30;38;20;26;25;23;64;16;12;17;43;75;75;44;33;28;31;20;54;37;29;83;19;79;20;21;26;22;22;25;65;68;70;23;10;12;51;59;22;29;24;23;25;35;29;55;25;35;17;19;55;55;19;92;33;28;29;47;23;19;38;57;32;31;68;20;22;11;42;50;11;25;27;48;63;64;23;34;64;60;49;42;92;22;22;80;28;26;29;55;14;20;64;58;64;44;15;13
54;68;27;25;17;55;31;54;58;56;17;22;56;43;29;47;36;57;20;30;31;65;17;34;37;17;24;27;46;31;20;12;25;23;60;30;12;55;68;68;22;5;58;31;39;70;21;83;5;68;21;22;29;39;17;22;22;12;66;79;48;63;22;23;22;44;55;23;20;27;12;11;21;23;12;26;39;19;60;54;70;68;23;25;25;79;58;32;77;31;53;17;23;22;25;24;22;19;43;50
68;24;29;25;50;37;72;51;51;39;30;28;55;79;32;22;55;35;66;31;26;70;48;22;79;5;38;67;22;22;54;46;45;45;19;29;24;29;43;51;26;26;26;20;22;17;23;32;55;55;45;39;40;72;20;78;11;25;18;18;23;22;21;22;25;24;33;31;12;70;65;35;19;18;12;29;24;37;16;14;30;30;48;54;64;56;12;21;67;24;12;17;58;55;22;28;28;25;67;31
24;24;20;22;22;32;44;41;23;12;26;21;25;32;20;32;55;55;22;13;17;22;44;52;64;10;57;51;23;45;39;23;24;24;68;26;48;47;31;32;79;17;33;38;24;25;79;58;68;77;29;22;55;55;25;36;29;22;23;25;24;32;64;23;65;60;26;22;29;23;37;40;5;70;22;21;80;26;55;23;12;17;23;32;12;12;63;50;21;65;63;55;23;54;23;35;31;28;23;24
32;55;28;26;22;21;32;32;17;55;32;12;29;27;28;26;22;12;29;35;13;19;11;83;22;70;8;9;16;11;32;22;32;32;23;22;51;25;23;26;24;24;21;23;25;19;25;22;41;30;29;24;23;32;26;21;24;26;29;55;58;22;44;34;54;27;23;22;52;35;14;76;31;64;48;55;23;70;29;10;29;19;20;31;32;22;58;35;25;28;32;23;79;26;58;35;17;32;35;22
22;10;11;12;23;39;21;20;12;22;21;20;25;27;22;19;10;54;25;10;15;16;21;11;55;20;12;20;23;28;22;22;83;25;22;64;21;13;22;32;20;24;22;23;37;54;31;23;29;12;35;35;28;23;28;22;23;28;48;39;23;55;39;29;23;22;33;34;79;12;22;32;29;35;22;22;32;20;24;26;26;23;25;83;19;22;76;12;25;19;14;20;12;48;68;25;48;23;22;21
71;66;66;11;34;5;25;10;19;17;28;27;22;21;64;27;55;24;55;54;23;24;27;24;5;24;17;25;20;22;66;55;21;34;29;22;32;79;48;49;39;12;23;23;25;10;24;33;32;24;17;66;75;70;19;68;44;12;23;21;25;27;10;25;31;11;23;25;29;22;58;40;25;33;10;55;76;29;23;79;79;12;23;32;10;47;21;31;24;21;22;23;32;22;29;23;20;50;16;18
33;33;24;23;24;83;28;27;50;31;19;22;29;23;32;32;13;25;22;23;22;32;12;21;22;35;22;21;32;31;25;79;66;66;26;26;12;66;31;23;45;35;10;22;28;29;38;45;26;24;29;24;31;23;22;23;35;42;79;79;25;35;28;21;22;18;17;20;36;37;41;57;12;22;24;24;11;21;16;15;22;22;25;26;41;38;66;24;29;23;23;23;24;76;12;25;33;43;24;39
22;23;25;21;24;28;32;44;17;18;31;29;28;21;30;25;24;28;26;19;23;34;45;38;14;22;32;35;21;28;13;54;14;21;23;31;12;26;32;25;58;35;23;16;24;30;26;17;79;29;24;24;16;58;27;28;21;19;21;23;13;10;28;13;27;25;35;23;29;19;17;22;58;10;32;72;25;22;19;15;25;21;12;55;22;23;44;5;32;35;12;23;24;25;17;15;30;27;23;29
17;24;32;12;22;25;66;20;31;18;29;32;27;30;17;17;27;50;29;23;23;26;25;20;13;23;23;24;48;21;22;27;34;30;61;22;26;32;26;64;25;83;27;24;21;21;23;22;22;12;39;19;66;29;20;12;21;29;12;22;29;26;13;20;12;34;22;21;25;22;22;16;23;18;59;27;66;5;23;32;25;12;12;19;24;17;79;10;34;24;79;12;62;27;45;37;12;10;30;34
