individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29;individual_30;individual_31;individual_32;individual_33;individual_34;individual_35;individual_36;individual_37;individual_38;individual_39;individual_40;individual_41;individual_42;individual_43;individual_44;individual_45;individual_46;individual_47;individual_48;individual_49;individual_50;individual_51;individual_52;individual_53;individual_54;individual_55;individual_56;individual_57;individual_58;individual_59;individual_60;individual_61;individual_62;individual_63;individual_64;individual_65;individual_66;individual_67;individual_68;individual_69;individual_70;individual_71;individual_72;individual_73;individual_74;individual_75;individual_76;individual_77;individual_78;individual_79;individual_80;individual_81;individual_82;individual_83;individual_84;individual_85;individual_86;individual_87;individual_88;individual_89;individual_90;individual_91;individual_92;individual_93;individual_94;individual_95;individual_96;individual_97;individual_98;individual_99
74;71;38;62;61;38;61;54;74;73;67;56;51;43;66;62;58;50;52;43;38;74;70;43;65;35;74;75;68;44;57;64;70;59;40;40;50;66;55;50;40;37;40;62;61;51;64;38;64;51;67;38;38;73;63;74;69;71;72;51;68;39;36;55;57;49;35;74;72;53;48;50;48;52;68;66;43;47;45;69;71;38;37;52;62;51;70;64;54;36;37;52;64;45;35;65;60;40;35;70
53;46;56;56;59;56;40;43;40;55;51;51;52;70;68;61;62;52;38;50;38;64;62;74;47;54;43;46;40;64;43;71;56;61;60;64;61;70;72;72;52;50;61;36;51;66;61;68;67;64;69;65;38;61;44;46;69;65;35;43;52;51;64;61;50;43;74;66;62;59;43;45;59;63;44;56;59;74;38;63;40;51;53;52;38;74;65;62;36;39;50;40;61;47;51;51;71;57;35;50
53;60;71;62;52;66;72;38;67;38;52;45;74;52;51;53;50;38;45;72;57;55;71;69;64;61;55;55;53;54;74;74;71;51;35;36;57;47;35;53;40;38;52;60;40;55;46;49;48;44;61;37;51;61;68;66;40;40;63;53;53;62;71;70;45;48;50;74;39;40;68;62;62;65;44;43;51;54;67;65;54;59;39;50;68;50;74;36;70;62;46;44;47;45;52;40;49;48;38;42
40;43;46;46;57;40;61;44;51;68;52;55;65;58;67;66;68;70;74;43;35;35;52;37;59;59;60;74;50;67;73;43;68;62;52;55;40;64;63;63;66;49;37;66;35;51;62;64;52;58;54;62;38;49;43;54;54;70;52;51;40;40;40;43;70;65;66;74;46;44;40;38;62;62;55;52;59;57;44;58;45;46;50;51;71;40;38;43;56;72;68;68;68;62;61;52;48;43;46;59
71;51;55;73;46;70;40;73;50;46;52;52;52;46;65;64;56;53;62;51;48;74;48;66;52;66;67;68;66;62;60;40;68;68;42;50;60;50;46;45;62;43;61;74;68;56;59;43;59;67;40;40;74;62;69;65;63;68;37;60;68;67;64;68;61;43;35;67;68;50;48;59;59;59;41;47;68;55;73;64;52;66;43;68;48;47;52;50;50;47;58;53;70;74;73;68;55;58;58;40
67;63;62;43;48;44;48;74;39;38;61;58;40;70;64;60;65;68;53;52;57;70;40;58;63;58;62;56;52;52;74;50;40;58;64;54;46;45;67;67;60;60;45;43;72;39;74;74;51;48;51;62;71;70;48;70;48;53;72;51;54;64;51;51;48;62;66;40;65;52;52;59;52;52;70;52;55;54;62;52;47;60;58;68;41;51;52;50;64;60;66;67;70;64;59;62;63;56;74;66
66;66;40;52;48;58;68;68;53;56;56;64;48;62;50;49;52;50;42;46;57;62;40;71;43;49;68;40;73;40;64;70;60;61;60;68;60;64;56;57;63;51;68;52;68;52;44;43;70;53;44;62;52;54;47;41;57;62;42;46;70;66;68;60;55;70;58;40;52;54;70;50;55;58;74;74;61;51;57;74;51;48;53;65;48;35;64;52;67;62;47;50;69;72;59;55;65;54;66;54
59;58;39;38;66;52;68;57;50;49;68;72;66;52;47;38;51;40;47;63;66;65;52;40;65;65;65;45;61;62;62;45;70;70;74;62;63;63;59;59;61;65;55;70;52;60;58;59;58;58;52;62;52;40;65;65;35;67;66;51;43;46;65;70;74;68;65;50;55;56;67;54;67;48;67;62;43;49;53;51;64;60;62;64;70;51;61;72;62;70;70;72;70;65;67;63;68;40;47;44
62;63;68;70;66;73;40;43;62;52;48;62;53;61;72;68;52;55;70;70;62;60;46;65;53;57;71;74;64;68;51;55;48;55;40;40;63;51;52;43;62;62;60;42;66;52;61;55;59;59;47;45;71;51;40;51;54;70;40;62;66;54;71;53;62;70;43;52;63;64;49;58;70;67;67;40;52;52;58;70;62;47;43;55;55;70;40;58;64;55;54;66;61;50;50;40;63;59;51;40
66;64;44;70;49;67;70;48;67;68;47;66;70;72;40;48;59;59;68;69;66;64;51;72;51;40;51;51;41;42;43;70;40;51;58;60;56;54;59;59;51;66;43;48;68;60;51;61;63;54;51;52;63;52;43;68;64;51;68;70;63;48;68;51;60;50;60;74;51;68;63;60;58;60;68;50;63;40;41;46;62;44;71;69;56;40;66;38;56;55;52;51;63;51;37;58;73;65;70;37
64;55;68;70;51;73;72;69;66;50;48;40;48;68;68;66;68;40;50;55;65;49;67;58;74;60;55;43;63;63;55;64;69;69;70;68;50;50;68;62;70;70;68;47;72;40;70;68;66;55;64;68;67;42;50;62;49;41;64;52;56;57;54;66;63;62;68;68;69;59;52;53;70;51;47;48;41;60;40;40;64;40;55;40;67;66;40;51;71;73;61;62;51;60;55;58;66;69;66;60
