AggressivenessPct;ScaryPct;Speed;MaxVitality;Strength;MaxEnergy;SightDistance;FieldOfViewDregrees;SmellingHearingRadius;SeeingPriorityPct
51,07999;44,71;55,26999;1712,57;245,73;13,62;76,56001;106,78;45,06001;44,67001
55,96;46,43999;54,81001;1819,35;245,47;14,54;72,02;103,76;46,97001;48,89998
48,32;44,16;53,96;1832,13;245,58;13,95;74,69003;104,03;40,66999;44,64
50,24999;45,29999;54,34001;1871,33;238;13,34;67,7;109,12;46,60001;45,54001
51,77;45,41999;57,38001;1887,75;234,86;13,02;73,23;108,84;48,78999;40,95001
52,87;44,15999;57,23;2152,57;236,6599;13,6;70,54;110,39;46,10999;41,1
56,81998;41,32;56,81001;2010,69;231,72;14,03;69,02999;103,4;48,15999;37,4
56,74;44,16;58,39;2254,571;226,39;14,78;73,17;109,48;51,12002;36,45
55,94998;40,31;57,01001;2111,63;233,19;13,16;71,22002;108,78;50,05999;36,32
58,64;42,36;56,93;2155,89;234,01;14,1;66,43001;109,21;49,95;35,43999
57,46999;38,28;58,94999;2147,29;234,25;13,89;72,19999;104,74;52,31001;31,14
63,09;39,84999;57,94;2459,99;223,23;14,35;73,21001;113,74;50,52002;28
57,45998;43,66002;57,37001;2263,84;228,86;13,13;68,64999;111,96;52,27999;32,18
59,8;42,35999;58,28;2460,38;227,83;13,95;68,71;108,57;52,53998;30,95
62,40999;35,04;58,52002;2053,17;222,65;13,55;70,7;108,12;52,38002;26,69
64,37;38,22999;58,34;2312,491;225,59;13,73;66,78001;107,97;54,71;28,06001
60,84;44,35;57,96;2237,85;228,56;13,56;70,49;110,07;55,74;30,1
63,69001;41,98999;58,34;2256,479;239,24;14,04;73,15001;108,62;54,15999;29,55
64,25998;39,86;57,84;2292,45;241,01;12,94;65,24001;102,71;56,06999;27,83999
64,92;34,77999;58,88;2391,24;235,19;13,89;68,20002;112,64;52,95;29,4
67,15999;32,12;55,66;2275,71;224;13,93;68,76;112,72;52,98999;26,35
67,30998;39,01001;57,73999;2355,43;236,47;12,99;66,31;110,02;57,12999;25,54
66,38;38,58001;56,37001;2338,281;227,72;14,24;64,11001;105,7;54,98001;28,58
64,87999;32,83;58,41;2356,719;229,68;14,12;67,62999;109,73;54,37;28,08999
66,24998;38,66;57,22;2284,13;233,4999;13,77;70,91001;111,19;54,15999;25,75
66,78;33,22;57,84999;2304,43;241,68;13,19;69,41001;114,93;57,74;26,89
67,23;37,36001;58,16999;2431,841;231,29;13,57;67,59;106,79;54,86;25,85
69,58999;36,75999;57,42999;2388,43;239,2;13,66;65,38999;105,89;54;27,85
66,80999;32,27;56,65999;2276,62;232,8601;13,31;63,63001;107,38;55,1;26,87
70,77999;32,2;58,91999;2398,111;243,0201;12,62;65,74001;103,16;55,54001;23,95
68,81999;36,81;59,89;2266,86;245,72;13,72;65,67001;107,45;55,42;24,97999
65,78;31,39;58,37999;2270,25;225,28;13,57;68,32999;107,22;53,98;30,21
68,43;35,58;58,38999;2362,62;237,4;13,58;63,84;105,25;58,49;26,75
70,19;35,49999;58,31998;2253,68;251,8;13,93;59,21;99,61002;56,2;25,62
66,83;32,9;58,89;2477,631;246,44;13,18;64,72002;106,46;58,06;26,39
66,77999;34,85;58,83998;2371,93;239,86;13,63;67,89001;107,43;56,29999;27,49
66,83;33,87;60,08;2452,05;248,86;12,59;64,4;104,02;58,50999;23,88
70,50998;31,56;60,51;2378,56;248,56;12,81;72,40001;108,14;56,02999;29,8
72,65;31,64;59,66;2468,66;253,48;13,33;70,31;105,24;57,25999;25,88999
72,32999;30,08;59,75;2417,59;244,06;13,31;66,21001;105,27;58,65998;24,44
69,96;31,39001;58,18999;2479,14;245,15;13,79;69,61998;108,5;58,25998;23,66999
68,68999;34,10001;58,50998;2422,53;249,36;14,11;68,19001;103,39;56,34999;26,26999
70,57;30,63;59,22998;2445,22;253,19;13,36;71,01997;108,14;59,79999;23,46
71,50001;33,70001;57,99001;2567,2;249,3901;13,29;66,99001;106,18;57,9;27,14999
72,39;33,24;59,85001;2410,19;252,15;13,93;65,91999;105,46;59,28998;23,66
70,60999;40,54;59,54999;2427,1;246,41;13,64;67,51998;107,45;58,14;26,28999
66,26;34,86;59,59;2394,42;249,86;14,09;71,12999;100,51;58,24;27,2
73,27998;31,67999;61,30999;2509,311;251,69;12,63;70,95;105,14;59,97999;24,74
70,93998;28,03;59,21999;2490,11;255,42;12,84;69,00999;109,94;58,71999;22,59
71,21999;31,76;60,6;2509,68;259,32;12,83;68,91002;101,9;58,78999;24,54
69,28999;30,86;59,17999;2460,34;254,99;12,81;67,86001;108,11;59,41997;24,96
68,68999;34,26;57,98;2451,88;244,92;13,38;70,89999;112,2;58,33998;23,19
73,46001;31,34;61,10999;2566,8;260,8299;11,93;69,75999;107,88;61,75998;23,28
72,5;30,62;58,55999;2618,84;253,51;12,54;70,66;107,39;59,8;23,13
71,05;35,27001;60,20998;2554,951;256,7199;13,32;70,16;105,06;58,91999;23,17999
71,28999;34,91001;60,39999;2506,71;260,27;13,06;71,03;108,24;58,06999;24,45
72,48002;31,51001;59,47997;2590,83;265,25;13,22;67,06001;109,17;58,37;23,37
71,08;29,08001;60,48998;2578,691;261,02;13,04;68,19;106,36;60,10999;24,47
69,85999;37,57;59,53;2448,841;242,5699;13,07;69,97999;105,82;59,13998;24,93
