individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
125;76;32;153;91;146;108;31;103;157;74;27;99;157;128;139;31;115;155;106;14;39;18;16;124;112;128;100;15;114
32;128;144;123;108;117;109;113;116;72;108;18;107;114;17;16;74;103;141;114;31;27;40;138;152;126;114;128;74;153
131;54;126;74;118;116;133;144;128;124;126;141;125;136;83;61;118;115;138;143;126;125;114;32;128;109;19;30;128;128
125;126;128;139;128;79;121;121;32;118;112;122;108;141;136;136;155;126;126;115;74;118;140;127;99;59;152;125;74;155
126;118;129;133;112;136;125;125;74;125;126;118;126;125;136;115;133;59;134;66;134;128;90;94;125;139;128;134;136;126
128;126;139;128;131;136;94;91;136;126;126;112;141;139;125;126;126;129;126;126;128;126;129;129;126;125;85;99;125;126
128;126;125;126;125;126;133;135;119;135;126;136;112;126;125;126;129;125;126;126;139;126;136;125;126;139;139;129;125;126
126;126;135;130;133;131;137;131;136;126;136;126;129;126;136;125;127;128;131;131;127;128;139;139;139;126;136;136;134;127
135;129;131;126;131;130;130;130;135;126;128;136;128;129;139;126;135;128;135;135;126;136;135;135;131;129;135;131;133;133
132;134;131;131;130;130;125;126;126;128;128;136;129;131;127;126;131;131;135;131;131;131;132;136;135;129;131;131;135;129
131;131;127;129;131;128;128;128;126;125;131;133;127;128;128;129;129;135;135;129;132;129;135;135;126;135;131;135;126;128
131;131;131;129;139;128;130;127;130;134;127;126;128;127;132;132;127;135;129;128;131;128;128;128;128;126;130;135;127;128
129;128;127;128;128;131;131;131;128;128;128;131;131;131;128;131;134;128;128;128;135;128;128;129;127;128;130;129;127;127
128;128;131;127;129;128;127;127;129;129;128;135;129;135;128;129;129;128;131;128;129;131;127;128;128;131;127;129;128;128
128;127;131;128;129;128;131;128;128;128;127;128;135;128;129;128;128;128;128;129;128;135;128;128;129;129;129;128;127;135
128;128;128;128;128;128;128;128;129;131;129;127;129;130;128;128;128;128;128;128;128;128;128;128;128;128;130;128;128;127
129;128;129;129;133;130;128;129;128;128;128;127;129;128;129;130;128;129;127;128;128;128;128;128;128;128;128;127;129;128
128;135;128;128;129;127;128;128;127;128;128;128;127;128;128;128;128;128;128;128;128;127;129;129;128;131;128;128;128;128
