individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
42;59;111;58;121;104;125;15;55;89;90;31;39;39;122;96;67;59;85;108;90;11;37;77;65;49;48;119;5;95
116;117;58;95;68;93;95;125;40;66;92;70;73;94;36;6;90;55;100;104;20;26;111;104;58;42;97;120;90;58
62;112;60;72;42;92;42;58;120;65;99;43;66;84;46;73;42;68;52;54;42;42;108;103;120;95;36;116;121;118
42;42;67;75;77;55;52;55;64;81;42;92;92;43;84;84;54;73;56;54;71;61;53;89;111;42;58;42;87;88
60;61;43;83;42;84;42;42;90;42;60;61;42;42;71;67;42;42;42;43;56;70;64;58;42;75;79;47;84;42
57;64;75;79;43;42;42;42;66;60;42;42;43;75;42;42;43;42;42;42;42;43;65;60;42;42;42;42;45;53
79;27;42;42;42;42;64;53;70;75;47;59;42;42;42;42;42;42;42;42;60;57;44;43;45;72;64;53;42;42
42;42;42;43;42;72;43;72;49;52;84;42;42;53;50;76;42;53;42;84;43;53;72;72;60;42;84;42;61;65
42;43;72;42;42;42;81;46;42;42;57;57;42;84;72;42;50;71;72;72;42;84;42;42;66;49;42;72;52;74
72;72;72;72;42;72;42;42;42;42;42;42;43;72;43;57;42;84;42;72;78;78;43;72;72;43;70;44;53;62
84;84;43;43;78;42;43;43;43;42;42;42;57;43;42;43;43;72;50;65;63;51;72;72;43;71;72;72;42;42
72;72;84;43;72;42;51;75;43;72;42;43;43;43;71;66;43;72;43;42;78;43;42;42;56;43;43;42;43;43
65;42;43;43;61;54;79;83;42;43;56;65;74;82;69;45;72;43;42;42;72;43;46;61;42;43;43;78;42;43
43;43;58;50;61;56;43;43;65;65;56;72;72;61;56;52;51;56;50;71;65;65;43;42;43;65;50;58;43;43
42;43;54;61;52;48;72;42;43;43;42;43;52;62;43;52;43;43;45;55;43;72;43;1;47;48;46;58;43;72
43;43;42;43;62;43;49;55;52;72;52;43;43;78;43;43;51;44;43;43;43;43;43;43;43;65;44;71;44;55
63;46;59;58;43;72;62;43;67;47;43;43;52;71;43;72;67;56;50;43;47;48;43;52;44;43;52;43;43;43
72;71;43;62;50;52;43;43;48;45;43;43;43;43;43;43;43;44;43;43;43;50;52;52;43;65;43;52;52;62
47;67;43;44;66;55;43;43;47;48;51;44;44;64;44;65;43;52;43;44;43;43;43;65;43;43;43;43;52;43
43;48;50;65;50;43;54;58;44;43;43;44;43;43;71;43;60;48;43;43;43;43;52;48;52;43;48;62;43;43
62;52;44;43;47;49;43;65;60;45;43;50;50;62;50;44;43;52;43;66;43;43;56;49;71;66;52;43;44;43
66;43;62;62;50;52;43;43;43;43;43;44;43;43;65;62;50;45;57;57;51;57;54;54;43;44;43;43;43;43
44;50;45;51;47;47;43;43;43;65;44;43;43;43;58;59;45;43;44;70;52;43;50;52;62;61;43;52;43;43
45;43;57;51;71;50;43;50;48;48;43;52;47;43;62;50;44;43;52;43;52;45;47;47;47;49;52;65;65;71
50;43;55;57;44;52;47;45;44;43;52;43;43;65;52;44;43;43;47;44;46;44;43;44;49;46;51;44;45;51
43;45;54;56;48;44;52;43;50;43;48;48;62;65;45;44;50;43;48;43;43;47;45;50;56;61;50;47;51;45
45;52;52;52;48;47;43;44;44;46;50;50;43;52;48;46;49;46;63;54;56;61;47;47;44;49;50;50;52;43
60;48;65;65;52;50;52;50;44;43;44;45;44;43;47;48;60;48;50;52;50;45;50;44;43;47;62;52;43;43
48;48;43;50;43;43;65;47;45;43;60;48;48;50;47;48;43;44;45;43;45;43;43;44;51;49;55;53;43;43
61;61;43;43;50;45;44;47;48;43;56;50;45;43;44;50;44;62;44;44;50;51;43;43;50;50;43;48;43;43
45;43;43;50;63;52;43;43;47;44;43;65;47;45;44;43;44;43;50;48;45;49;43;43;50;51;50;60;45;44
62;44;65;43;52;65;43;62;43;43;47;45;52;52;47;46;50;50;44;44;50;52;45;52;43;50;65;51;47;65
49;44;65;52;47;44;45;48;46;64;47;45;49;50;57;55;50;48;50;47;47;43;57;50;46;46;50;50;50;65
50;51;55;57;65;43;48;47;50;50;50;50;43;43;45;47;44;50;50;65;43;47;57;58;43;65;43;65;50;43
44;43;43;44;46;50;48;47;43;43;45;47;47;50;44;44;50;47;44;47;48;50;50;51;43;43;60;43;43;62
43;43;50;50;48;44;62;44;50;48;46;49;48;43;43;43;43;48;62;44;49;48;48;47;43;48;50;65;54;55
50;52;50;45;47;45;57;55;47;45;45;65;50;52;46;62;43;47;47;46;49;49;50;44;60;52;48;48;45;50
65;47;50;43;48;48;44;43;48;50;50;44;50;47;62;43;53;56;43;52;46;45;49;48;45;43;59;50;62;47
49;48;47;47;45;47;43;45;50;44;48;48;46;48;62;47;47;45;43;45;48;49;43;43;43;45;52;53;46;48
43;43;50;43;47;47;48;43;47;49;51;54;43;47;44;45;45;43;65;47;49;45;48;50;45;50;45;50;48;48
52;44;45;44;51;46;43;44;45;45;47;48;51;57;48;62;43;43;47;65;50;65;47;47;50;43;53;45;60;48
43;43;47;43;44;44;44;47;45;45;47;47;44;43;45;65;47;44;48;50;51;54;45;51;45;45;46;45;51;46
47;50;43;50;53;52;48;47;48;62;45;48;43;43;48;54;43;43;48;57;45;47;62;45;47;43;43;43;45;45
45;45;45;43;45;50;45;48;43;43;65;43;47;51;43;47;54;43;48;47;44;46;45;45;53;53;44;44;53;43
50;48;47;47;45;44;43;47;43;50;44;49;49;56;47;45;44;43;48;52;43;45;45;43;48;47;45;45;49;60
50;47;50;45;62;43;47;45;43;50;50;50;47;43;50;43;47;46;43;47;46;50;45;45;48;49;47;48;51;61
43;47;43;45;43;43;44;47;47;45;47;45;48;52;63;50;43;43;43;47;43;62;44;61;47;45;46;44;48;49
49;53;44;43;43;43;45;62;43;43;44;49;43;44;45;51;46;47;43;53;43;43;43;43;48;47;49;52;43;47
43;44;45;44;49;48;45;43;50;43;52;44;45;63;43;43;49;46;45;48;49;59;50;44;48;45;48;43;47;47
48;48;43;50;50;43;53;50;58;54;47;47;43;53;43;62;45;47;46;53;45;46;45;45;44;43;48;46;48;47
45;45;50;50;48;47;43;44;62;47;65;53;51;56;47;47;48;48;43;44;50;47;43;48;43;47;52;48;43;43
43;50;43;43;44;46;43;43;43;45;62;62;43;43;43;43;43;48;65;45;43;45;43;43;46;44;45;47;47;47
49;44;45;47;47;48;48;47;62;43;46;45;45;43;45;62;43;45;47;50;62;45;62;47;45;45;52;51;53;56
43;45;43;48;43;43;45;64;43;43;47;65;43;48;65;45;65;43;46;47;53;53;45;53;46;44;62;47;43;45
47;48;48;45;65;47;43;45;43;43;62;44;51;46;43;43;47;43;47;48;65;45;56;52;43;48;44;44;47;62
65;65;44;44;43;43;65;65;65;43;46;59;47;62;53;56;51;45;46;64;45;43;46;44;45;46;47;44;43;65
48;50;44;45;44;65;53;45;45;47;43;45;43;53;43;44;48;47;47;43;44;44;45;43;46;46;65;43;43;43
44;47;50;57;62;49;48;47;51;61;45;43;43;62;65;43;45;65;45;43;45;45;43;43;43;44;44;47;62;62
45;43;43;45;45;46;48;47;45;47;46;48;43;43;45;43;48;45;43;43;46;43;45;48;46;46;65;47;45;43
43;47;43;43;43;43;43;43;49;61;44;45;43;43;65;43;43;43;62;53;49;48;43;43;43;45;45;50;51;45
43;45;43;43;45;44;47;65;43;43;51;62;43;48;47;43;43;43;50;65;47;44;50;54;44;43;62;44;43;45
43;43;46;46;65;45;60;48;46;45;43;43;43;47;62;62;53;53;47;62;47;43;44;46;43;53;45;53;45;45
43;53;43;47;47;62;45;44;59;53;44;52;52;57;44;46;48;60;44;45;43;46;46;43;44;43;47;43;45;43
62;43;47;47;45;45;43;43;47;43;47;62;44;46;61;47;45;44;44;49;47;45;50;50;47;43;53;47;45;45
53;52;45;44;43;45;46;47;44;44;49;49;61;57;43;43;44;47;65;65;45;44;43;43;45;44;48;51;51;61
43;45;47;47;47;44;43;43;60;46;60;45;47;65;44;43;43;65;45;43;63;45;44;43;50;59;50;46;43;45
43;43;45;43;45;43;52;53;43;47;65;43;54;56;47;53;58;49;48;47;45;52;45;44;55;52;43;45;45;43
59;51;45;43;43;45;43;48;45;45;44;43;63;47;47;45;43;43;43;45;47;43;43;43;51;49;45;46;58;50
65;45;43;47;51;57;45;45;43;43;56;51;44;43;43;43;48;57;43;47;59;49;45;44;43;53;44;44;65;43
