individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
44;30;45;43;10;34;24;14;4;49;34;23;13;12;26;47;41;44;35;48;14;41;7;44;28;39;26;21;29;10
45;26;43;10;28;37;11;23;41;12;24;7;46;46;29;7;34;4;27;29;16;21;45;34;44;43;10;26;36;41
43;45;43;34;25;42;44;44;26;28;43;27;43;24;32;26;32;40;34;33;44;43;13;42;26;11;29;45;26;26
38;38;27;44;44;36;25;28;42;25;32;35;24;27;24;24;44;35;29;43;34;32;27;44;45;44;44;43;34;35
32;43;24;44;32;24;43;43;34;38;37;38;41;40;42;25;44;44;44;27;43;24;42;44;43;44;24;43;24;44
24;44;38;30;27;43;44;44;24;41;39;37;36;35;44;43;24;44;41;41;29;38;43;44;44;43;44;43;33;39
31;34;43;44;44;43;42;40;24;43;44;43;34;37;43;43;44;43;39;44;44;44;33;43;44;44;44;44;42;42
43;44;24;43;44;43;43;25;43;44;41;27;44;43;24;43;44;44;44;24;39;43;44;44;44;43;24;43;30;37
24;24;43;43;44;24;24;24;24;44;44;43;41;26;44;44;24;24;44;25;44;24;24;24;24;25;42;25;24;24
44;43;42;26;43;44;43;44;44;41;42;42;24;25;43;44;44;24;24;25;25;24;24;44;44;24;43;44;43;25
24;24;39;24;24;41;32;31;44;43;42;43;44;39;37;28;41;27;41;27;44;44;44;44;44;44;44;43;44;41
28;41;24;24;44;41;32;36;24;44;43;31;31;39;27;27;39;44;24;42;24;31;41;37;44;44;24;43;39;31
35;33;39;31;31;43;24;24;37;31;24;31;24;25;43;41;43;40;41;41;44;31;31;38;27;41;28;27;32;43
31;31;31;43;34;28;41;41;35;35;31;37;43;39;37;30;27;41;31;24;34;32;39;41;31;31;39;27;31;31
42;38;33;41;34;34;43;37;34;37;41;43;44;33;31;30;40;31;16;44;31;44;33;39;24;30;35;34;39;44
40;31;41;43;33;40;33;33;30;43;30;39;27;34;43;31;31;30;31;31;31;40;31;31;38;36;41;41;39;37
39;35;32;33;43;44;33;24;41;43;39;40;38;33;43;43;31;40;39;43;30;43;31;30;34;36;31;38;24;43
41;44;37;33;39;30;37;34;33;37;43;31;39;31;43;31;42;40;37;43;40;39;30;30;31;31;30;40;30;33
42;42;39;40;41;39;36;38;43;30;38;32;34;32;40;31;37;33;41;42;43;24;40;35;40;40;43;40;30;24
39;33;31;39;39;40;39;33;39;39;43;40;39;43;40;41;35;43;40;40;41;39;32;31;42;31;33;33;36;38
33;30;39;40;30;39;41;39;33;31;39;40;39;33;39;39;38;35;43;41;40;43;40;33;41;41;30;31;42;41
42;42;33;33;38;31;42;42;40;40;42;40;40;39;39;33;38;37;40;41;40;40;41;39;40;42;39;40;39;35
39;40;39;30;39;39;40;43;39;39;39;43;43;43;35;34;37;40;41;41;39;31;30;39;30;41;41;37;43;43
39;38;31;39;41;39;40;30;39;30;31;30;39;43;39;33;40;40;37;40;37;37;39;39;35;35;30;39;39;41
35;38;39;39;30;39;39;39;40;40;38;38;40;39;30;39;41;42;41;39;40;39;32;38;30;43;35;41;37;32
43;39;33;39;39;40;38;39;36;40;40;30;33;39;40;39;38;38;38;38;39;43;30;37;35;34;31;38;30;40
39;30;37;30;40;35;40;39;40;40;38;38;42;31;38;36;32;38;39;35;37;37;40;39;38;37;34;31;30;31
39;40;27;39;38;31;30;30;40;40;39;39;39;43;39;39;40;39;31;34;38;37;30;40;40;39;33;30;43;40
40;39;36;39;40;40;39;39;37;43;39;40;40;35;39;38;39;40;40;41;42;39;40;39;40;30;43;39;40;40
35;37;42;40;36;34;40;40;40;42;40;33;40;40;39;38;40;33;39;40;39;40;42;40;39;35;40;40;40;43
40;40;40;38;39;30;40;40;39;40;40;41;39;40;40;39;40;39;39;40;38;39;40;41;30;40;36;38;37;39
36;36;39;42;31;38;40;33;40;40;39;40;30;30;38;37;31;39;39;39;39;30;39;30;42;39;39;40;39;39
38;37;39;30;39;39;39;41;37;39;40;40;40;40;30;39;38;40;35;39;43;39;33;40;39;40;38;38;39;38
40;38;39;39;39;42;40;39;38;38;38;31;40;40;38;38;38;39;38;39;42;39;38;39;40;42;39;40;39;36
40;40;39;40;40;37;35;40;40;40;40;40;39;39;40;40;39;38;39;39;40;38;31;40;41;41;39;40;38;35
42;40;38;39;40;40;33;39;31;40;35;35;40;42;40;40;40;40;33;40;39;39;39;40;40;40;39;39;39;39
31;38;39;37;40;39;39;33;37;39;37;39;33;35;39;42;41;40;38;40;39;39;38;39;36;35;39;40;42;30
39;40;39;39;40;39;41;41;40;39;38;39;38;39;35;40;34;39;40;30;42;40;40;39;40;40;33;40;33;40
36;39;40;40;39;38;40;42;38;39;40;40;40;40;33;40;40;39;40;40;35;40;40;40;40;40;31;33;39;39
42;40;35;40;40;39;40;39;40;34;38;35;42;39;40;40;40;40;39;39;40;38;40;39;39;40;37;38;40;40
30;39;38;38;37;37;39;40;39;40;40;40;39;42;39;40;42;42;39;39;39;39;40;40;38;42;34;37;40;39
42;42;40;40;41;41;40;42;40;40;39;40;39;40;37;39;40;40;40;38;33;42;42;34;40;40;42;40;39;36
39;39;42;38;31;33;40;39;37;36;39;41;41;41;40;35;42;42;38;37;38;39;33;40;39;42;40;40;40;40
40;40;37;40;40;35;39;41;42;42;39;42;34;37;42;40;38;37;40;40;40;40;40;37;34;34;37;40;34;40
40;35;40;40;37;39;40;40;40;38;40;39;42;33;40;40;39;40;34;40;40;37;40;40;39;39;41;40;33;40
39;40;37;38;33;40;40;40;40;39;37;36;41;41;35;42;42;39;42;40;40;34;41;41;38;40;39;39;39;39
40;39;40;40;40;40;40;40;38;38;40;37;40;30;39;40;40;40;40;39;42;33;40;33;40;37;40;40;39;35
37;38;40;41;42;42;40;33;40;40;41;36;39;40;39;37;40;35;42;34;40;40;42;40;40;39;40;35;40;40
40;39;39;37;39;40;40;40;39;40;30;39;42;39;40;40;40;39;40;40;39;40;38;39;40;40;40;40;39;40
40;40;38;40;40;40;34;35;40;34;39;40;36;38;35;38;40;39;39;34;40;40;40;40;39;40;39;40;40;40
37;40;35;39;40;39;40;39;37;35;39;34;40;33;40;39;40;40;40;39;40;35;40;40;40;42;36;37;40;42
37;38;40;40;39;39;42;40;42;40;33;33;40;40;42;40;40;40;37;39;40;40;40;42;39;39;38;39;40;40
40;39;37;39;40;40;40;39;35;40;39;40;42;37;40;33;40;37;39;39;33;40;35;38;37;37;36;37;34;39
40;40;40;40;40;40;39;39;41;41;39;39;40;40;39;40;41;40;39;39;39;33;36;35;40;40;40;33;42;37
40;40;40;35;39;40;40;40;40;40;33;39;38;35;40;40;39;40;37;35;38;38;39;40;40;40;40;40;34;39
39;39;40;40;42;40;39;39;39;40;33;40;39;33;39;39;38;36;40;39;40;42;41;41;39;37;39;39;41;40
40;34;37;39;39;39;34;40;36;40;40;40;42;34;39;40;40;40;40;42;39;37;37;42;40;39;39;40;41;41
39;39;33;36;39;39;40;40;40;39;37;40;40;33;41;40;40;39;40;40;37;36;42;40;39;42;42;40;33;33
37;42;38;39;40;39;40;39;36;40;39;40;40;40;36;40;40;36;40;40;40;39;36;40;39;40;39;40;38;38
40;40;40;40;41;41;40;40;40;39;42;39;40;40;39;40;40;40;33;34;39;34;42;40;40;37;40;35;42;34
39;38;41;41;40;39;39;39;40;40;39;40;40;42;40;40;40;40;35;39;40;39;35;35;40;39;33;39;40;40
40;40;38;38;40;39;42;39;42;40;40;40;39;40;33;33;34;34;39;39;39;40;40;41;40;34;38;36;39;40
37;37;40;40;39;33;37;39;39;40;34;40;39;39;40;40;40;39;39;40;40;39;40;39;40;39;40;40;37;42
33;40;40;40;36;36;40;40;40;40;39;39;41;41;40;39;39;42;40;38;38;39;40;34;40;40;34;40;39;37
40;33;40;39;41;38;40;36;40;40;37;37;35;38;42;42;39;39;39;39;39;36;42;42;36;39;36;37;39;40
40;40;36;36;39;40;40;42;39;33;36;37;39;39;39;40;40;39;36;42;39;40;42;39;35;38;39;35;38;39
42;40;40;42;38;38;39;34;39;42;39;40;39;40;40;34;37;33;40;39;39;34;38;38;33;36;40;40;41;41
37;38;40;42;42;40;40;40;37;36;40;39;39;40;36;37;40;40;39;37;40;40;40;42;36;34;39;39;39;40
40;39;40;40;40;39;36;40;40;40;33;40;40;39;40;42;40;33;42;36;40;39;38;37;36;40;37;39;39;40
