AggressivenessPct;ScaryPct;Speed;MaxVitality;Strength;MaxEnergy;SightDistance;FieldOfViewDregrees;SmellingHearingRadius;SeeingPriorityPct
47,8;47,83334;119,3;14906,27;1,466667;1;70,36665;91,10001;29,3;43,83334
54,73334;44,03334;106,5;14999,67;1,366667;1;77,3;95,23333;28,16667;36,16666
60,66668;44,03333;112,5667;15152,93;1,166667;1;75,10001;109,1;33,76666;25,9
50,3;38,4;90,33333;14330,13;1,233334;1;66,2;117,2333;34,86667;22,5
49,7;35,56667;95,83334;13458,83;1,033334;1;57,26667;119,1667;37,13333;15,4
56,73333;41,26667;94,5;13599,17;1,066667;1;50,03334;123,6333;38,1;14,8
61,86667;43,19999;93,53333;13510,77;1,066667;1;50,00001;128,1666;40,86667;11,66667
52,63334;42,26667;100,1667;13477,3;1,1;1;55,36667;131,2333;38,83333;13,2
43,73333;34,96667;103,1;13387,77;1,266667;1;55,93334;131,5333;31,9;14,53334
57,73334;37,33333;104,2667;13461,33;1,133333;1;57,46666;130,6;36,36666;12,56667
56,26667;40,2;107,1;13469,33;1,2;1;54,8;130;37,7;12,96667
51,9;31,63333;108,6;13393,4;1,266667;1;53,63334;129,6667;34,76666;13,63334
54,00001;32,96667;110,4667;13409,33;1,133333;1;55,26668;129,1667;34,1;12,9
52,86667;29,86667;110,6667;13362,76;1,266667;1;54,70001;128,9667;34,2;11,93333
52,26667;29,26666;109,9333;13423,27;1,133334;1;48,43333;129;35,96667;13,36667
48,2;25,13333;112,1334;13376,16;1,066667;1;49,36667;128,2667;35,3;11,6
54,4;27,33333;112,0667;13438,57;1,133334;1;51,93333;128,4667;36,53333;11,23334
46;24,7;113,0667;13367,76;1;1;49,13333;128,3;35,96666;11,53333
48;23,66667;112,9667;13372,07;1,133334;1;48,60001;128,2667;36,96667;11,73333
47,43333;23,23333;113,5667;13382,97;1,033334;1;48,53333;127,9667;37,7;10,8
50,76667;23,66666;113,6;13414,57;1;1;50,76667;128,8;37,43333;10,5
49,2;22,86667;113,7334;13382,1;1;1;49,7;127,8;38,9;10,53333
50,43333;24,23333;113,8;13373,13;1;1;49,03333;127,9334;38,56667;10,43333
46,86667;24,23333;113,7667;13370,43;1;1;50,83333;127,9;36,96666;10,83333
46,73333;24,16667;113,7667;13345,4;1;1;47,3;128;37,73333;10,5
51,53333;24,53333;113,6334;13385,33;1;1;48,96667;128,0667;37,19999;10,36667
48,69999;25,96666;113,6;13353,6;1;1;49,1;128,2334;36,36666;10,86667
