individual_0;individual_1;individual_2;individual_3;individual_4;individual_5;individual_6;individual_7;individual_8;individual_9;individual_10;individual_11;individual_12;individual_13;individual_14;individual_15;individual_16;individual_17;individual_18;individual_19;individual_20;individual_21;individual_22;individual_23;individual_24;individual_25;individual_26;individual_27;individual_28;individual_29
28;44;64;81;28;66;82;48;13;64;37;96;19;32;21;33;81;1;25;49;31;65;28;49;47;44;52;35;90;20
63;47;54;57;23;28;72;75;73;36;30;31;31;96;42;76;34;33;66;96;47;47;81;65;64;96;69;79;81;96
29;26;28;32;55;56;62;38;28;20;28;13;16;17;96;73;94;71;28;37;33;73;33;23;28;20;16;16;26;93
59;69;73;36;70;25;32;26;26;23;83;29;32;57;79;27;30;29;23;23;96;17;37;38;28;16;22;73;32;23
41;53;26;32;13;23;23;23;28;32;69;32;29;32;26;23;23;26;23;25;16;16;37;32;32;32;32;96;55;50
22;14;55;55;22;20;29;26;23;38;17;19;26;32;30;28;32;32;25;27;43;38;26;32;31;30;35;35;24;30
32;16;55;24;26;55;26;22;26;26;26;55;30;26;63;58;32;55;26;32;23;23;30;38;32;32;33;52;26;30
32;26;32;26;23;19;28;30;28;53;26;55;55;32;55;55;32;32;32;32;32;32;26;32;55;30;31;27;53;32
33;49;26;26;27;28;28;30;32;32;32;32;32;32;26;26;32;55;28;32;32;32;31;27;55;32;31;27;32;32
31;28;40;41;27;32;27;55;26;32;32;32;31;27;32;32;26;26;26;27;26;32;49;33;30;28;30;28;26;32
41;35;28;28;48;27;55;26;26;26;26;32;32;26;27;27;26;30;32;26;26;32;30;32;27;27;27;32;53;32
30;29;26;27;31;31;26;26;27;32;32;26;26;26;27;28;55;26;30;26;28;30;26;27;27;26;30;26;32;27
27;32;28;26;26;26;28;26;31;27;27;26;26;32;26;26;30;32;26;26;26;26;26;27;32;27;30;28;28;30
26;27;32;30;32;26;32;30;29;31;26;26;32;28;32;26;30;32;27;26;26;28;32;26;26;30;30;26;32;32
32;30;30;26;30;30;31;28;26;26;32;32;32;26;31;28;26;32;32;30;27;29;30;26;32;30;27;29;26;26
31;31;32;30;29;31;26;26;32;30;31;31;26;26;28;27;28;27;28;27;26;32;26;26;26;32;28;29;30;30
26;32;28;28;30;31;32;26;29;30;26;26;32;26;32;30;32;30;30;28;32;32;30;31;28;29;28;29;26;26
26;26;29;26;26;26;26;26;26;26;29;26;32;30;26;26;29;29;26;26;30;32;32;29;30;26;26;26;28;30
31;30;29;29;26;32;28;30;30;30;31;31;32;32;26;26;26;26;29;30;27;29;28;27;30;30;30;30;26;29
26;30;29;29;30;28;26;26;29;30;32;29;30;30;27;31;30;26;26;26;30;31;30;26;26;29;26;29;27;29
30;29;29;27;30;30;26;26;29;32;32;32;30;30;29;29;26;32;26;26;29;26;26;30;31;31;30;26;29;29
