Best;Top3;Top5;Top10;Population
7,399998;6,049999;5,18;4,235001;2,875
5,15;4,45;4,01;3,38;2,629999
5,75;5,549999;5,239999;4,504999;3,224999
5,6;5,45;5,119999;4,774999;3,594999
10,25;9,449999;8,389999;6,934999;4,49
12,04999;11,09999;10,06999;8,374995;5,439998
12,95001;10,2;9,2;8,045;5,45
15,65002;12,80001;11,36001;9,965012;7,170006
13,24999;11,55;10,73;9,65;6,73
26,6;18,24999;15,73999;12,48499;7,664996
17,45;14,65;13,28;11,21;7,704998
21,5;18,6;16,1;13,115;8,194998
18,50002;16,20002;15,02001;13,04001;8,890006
12,34999;12,05;11,66;10,58;7,044998
20,3;19,3;18,74;16,61;10,475
14,3;12,9;12,47;11,27;8,524997
28,99998;23,24999;20,05999;16,23499;9,999997
24,65002;19,30001;17,15001;14,795;9,590001
27,79998;20,09999;17,66;14,21;9,159998
15,94999;13,39999;12,40999;11,19499;7,844997
25,40001;22,65;19,73;16,16;10,23
19,7;18,6;17,42001;15,66501;10,11
21,50002;19,35;17,96;15,845;9,720001
37,24997;28;23,21;18,23;10,535
25,99995;22,09997;19,09998;15,45499;9,479997
19,85;18,6;17,15;14,69;10,605
23,29999;20,85;18,68001;15,185;8,075003
26,3;20,55001;18,23001;14,91501;8,915002
17,9;16,55;14,81;12,515;8,794999
17,45003;16,35002;15,14002;13,59501;9,385006
25,40003;21,95002;19,49001;15,45501;9,010003
23,30002;20,60002;17,87001;14,705;9,934998
26,75002;24,40001;21,47001;17,13501;10,5
19,54999;18,69999;17,80999;15,30499;9,264998
24,8;17,2;15,17;12,86;8,54
28,39997;21,89999;19,33999;16,025;10,16
33,50003;26,05003;23,27002;19,40001;11,82
15,5;13,6;12,65;11,54;7,555
20,59997;16,09999;14,11999;12,33499;8,979999
25,85001;20,2;16,97;13,865;8,939999
21,04999;17,55;15,44;12,995;9,194997
28,10003;21,45001;18,47001;15,5;10,255
18,79999;16,89999;15,91999;14,015;8,679997
22,55;17,75;16,19;13,58001;8,510003
18,64998;16,94999;15,55999;13,21999;8,759997
31,70001;21,3;18,05;15,125;10,365
18,65;14,2;13,1;11,915;8,314998
18,64999;17,09999;16,13;14,09;9,635002
22,69998;21,94998;18,58999;15,00499;9,479997
15,8;15,65;15,32;12,605;7,734998
31,7;23,65001;20,93001;16,82001;9,995
17,45;16,55;15,89001;13,68501;8,840005
18,94999;17,79999;15,77;12,89;8,009997
15,64999;14,3;13,34;11,96;8,685
23,00003;19,45002;16,79002;14,30001;10,22501
20,90003;19,30001;17,66;14,045;8,484998
29;22,95;19,82;15,95;9,969999
29,74997;21,34998;18,43999;14,71999;8,839997
20,59999;19,69999;18,73998;15,60499;9,519996
19,24999;17,59999;16,87999;14,20999;9,419997
24,34999;19,3;17,15;13,85;9,254998
31,25002;27,70002;23,39001;17,15001;9,660003
22,69996;19,29998;17,26998;14,38999;9,109996
25,39999;20,45001;17,93001;15,21501;9,100003
20,30002;18,75002;16,97001;13,64001;9,360003
23,15;21,29998;18,31999;14,73499;9,009996
17,59998;14,54999;13,30999;11,31499;7,124997
